Plate,Enzyme (nM),Substrate (nM),Inhibitor (nM),Inhibitor_ID,v (nM.min^{-1}),Drop
18852-mers3,50,550,99500,ID_11138,0,1
18852-mers3,50,550,99500,ID_11138,0.010367943,1
18852-mers3,50,550,32340.00015,ID_11138,0.045148774,1
18852-mers3,50,550,32340.00015,ID_11138,0.049247728,1
18852-mers3,50,550,9949.999809,ID_11138,0.03435888,
18852-mers3,50,550,9949.999809,ID_11138,0.056722292,
18852-mers3,50,550,2500,ID_11138,0.197593701,
18852-mers3,50,550,2500,ID_11138,0.175230289,
18852-mers3,50,550,1230.000019,ID_11138,0.229842825,
18852-mers3,50,550,1230.000019,ID_11138,0.257510765,
18852-mers3,50,550,460.9999955,ID_11138,0.424302031,
18852-mers3,50,550,460.9999955,ID_11138,0.474875892,
18852-mers3,50,550,136.0000074,ID_11138,0.386386705,
18852-mers3,50,550,136.0000074,ID_11138,0.354860926,
18852-mers3,50,550,50.99999905,ID_11138,0.183729591,
18852-mers3,50,550,50.99999905,ID_11138,0.402179735,
18852-mers3,50,550,14.00000043,ID_11138,0.221765474,
18852-mers3,50,550,14.00000043,ID_11138,0.247082544,
18852-mers3,50,550,4.999999888,ID_11138,0.243706934,
18852-mers3,50,550,4.999999888,ID_11138,0.224236902,
18852-mers3,50,550,2.000000095,ID_11138,0.186381855,
18852-mers3,50,550,2.000000095,ID_11138,0.23436373,
18852-mers3,50,550,0.564999995,ID_11138,0.168177677,
18852-mers3,50,550,0.564999995,ID_11138,0.213447008,
19701-MERS2,50,550,99500,ID_14973,0.016723761,
19701-MERS2,50,550,99500,ID_14973,0.00721551,
19701-MERS2,50,550,32340.00015,ID_14973,0.014410943,
19701-MERS2,50,550,32340.00015,ID_14973,0.023983439,
19701-MERS2,50,550,9949.999809,ID_14973,0.032014056,
19701-MERS2,50,550,9949.999809,ID_14973,0.025653807,
19701-MERS2,50,550,2487.999916,ID_14973,0.06522869,
19701-MERS2,50,550,2487.999916,ID_14973,0.097286914,
19701-MERS2,50,550,1226.999998,ID_14973,0.153886705,
19701-MERS2,50,550,1226.999998,ID_14973,0.163202221,
19701-MERS2,50,550,460.0000083,ID_14973,0.310387376,
19701-MERS2,50,550,460.0000083,ID_14973,0.325870407,
19701-MERS2,50,550,133.0000013,ID_14973,0.454938489,
19701-MERS2,50,550,133.0000013,ID_14973,0.435472272,
19701-MERS2,50,550,50.00000075,ID_14973,0.36428888,
19701-MERS2,50,550,50.00000075,ID_14973,0.360562674,
19701-MERS2,50,550,14.99999966,ID_14973,0.263231591,
19701-MERS2,50,550,14.99999966,ID_14973,0.270619759,
19701-MERS2,50,550,4.00000019,ID_14973,0.247427336,
19701-MERS2,50,550,4.00000019,ID_14973,0.237083901,
19701-MERS2,50,550,2.000000095,ID_14973,0.243636885,
19701-MERS2,50,550,2.000000095,ID_14973,0.227639895,
19701-MERS2,50,550,0.88800001,ID_14973,0.247684316,
19701-MERS2,50,550,0.88800001,ID_14973,0.223463974,
