logK_S_M,logK_I_M,logKd,logK_S_D,logK_S_DS,logK_I_D,logK_I_DI,logK_S_DI,kcat_DS,kcat_DSI,kcat_DSS,kcat_MS,Hill Slope,logK_I_D_difference,logK_I_D_abs_difference
-3.39260634080321,-9.02950219060527,-16.8644575746399,-3.09360380950384,-7.42446328825178,-10.214214838523,-10.214214838523,-11.9924246394169,21.6207339803106,53.8146109412075,44.0894374674652,0,1.029032275150322,0.0,0.0
-4.56905171796074,-3.44181715129875,-3.44643964883406,-10.7264050569893,-11.6274256043984,-4.1390509137609,-4.1390509137609,-14.0309694825229,36.1686589029094,56.4469934934285,23.8719594586815,0,0.9489157460441996,0.0,0.0
-12.6425925723589,-7.2566473951037,-7.49415925682569,-3.05292962815566,-15.6675582308657,-6.52938315312378,-6.52938315312378,-6.48347364177182,44.776279878302,43.739157497714,21.9214793469175,0,1.058990768935096,0.0,0.0
-12.4773926798641,-4.39102251548506,-15.2246752404924,-4.30543836797774,-9.04974000860145,-13.2611204010937,-13.2611204010937,-14.8510790044856,9.15824925091001,29.547615533194,22.937292045675,0,1.0495422420577691,0.0,0.0
-6.39404162208643,-10.0519117875942,-7.56224957904173,-4.43188101778412,-5.51052241902985,-10.7932085956181,-10.7932085956181,-14.407569990349,5.30403243270703,1.18470638816943,7.19326830657665,0,0.9371835120431996,0.0,0.0
-15.7928117516031,-14.5059958657753,-15.6052602453302,-3.72938944486948,-7.88222018992854,-3.98450071662851,-3.98450071662851,-5.20532241663989,49.9494841761596,7.81349729700596,74.1827678742644,0,1.0848008595519432,0.0,0.0
-12.0131792578208,-14.8337026573974,-15.8328750185398,-9.44026282285387,-9.72327350308746,-14.5208430954278,-14.5208430954278,-13.8962841227981,24.1951312411751,25.9011707409751,45.3069339994749,0,1.064045737420684,0.0,0.0
-11.1843191309166,-4.76152557840897,-10.9288116532918,-10.0229811297907,-6.88761073176609,-15.8362570289564,-15.8362570289564,-15.8173562384723,65.4533430831973,2.50505095391418,58.7019776531321,0,1.0457492753387188,0.0,0.0
-6.46005642802594,-5.98875488459179,-12.5293915262492,-4.42059050270356,-15.350211461761,-9.49728510409268,-9.49728510409268,-14.1369346562186,18.5116221449745,11.2234137189807,51.6060857283999,0,1.0164057396735613,0.0,0.0
-9.39080393781653,-9.42177348282607,-4.59174136073049,-10.3149324147869,-6.18171914878301,-11.7212451738804,-11.7212451738804,-7.74335284851631,49.6764678311942,71.0738317688811,18.7816231842502,0,1.061871875026269,0.0,0.0
-12.0811527851466,-7.42061759890057,-7.46744826027891,-5.31091751673305,-10.8794582265299,-8.38205118321069,-8.38205118321069,-16.6477264927132,18.0721537085425,6.14280659357901,60.4714604031702,0,1.0611551841783813,0.0,0.0
-7.75033193695312,-13.7138150610784,-15.1907133529964,-12.4657786623091,-3.12779481269512,-15.3335481836996,-15.3335481836996,-14.2141981451679,16.4958807909745,55.7639066458738,64.6409539162356,0,1.022435976109969,0.0,0.0
-7.46864518348919,-6.41746439659316,-5.78341980153741,-7.34595196228754,-15.4065985810785,-11.0128259792766,-11.0128259792766,-15.7854835269237,40.9539131474274,48.9929408625292,47.7923134755052,0,1.023558915778279,0.0,0.0
-11.7570878767818,-4.78410235733585,-13.1608977676909,-6.93186984351743,-13.0687691430114,-11.7383665231671,-11.7383665231671,-16.966860885649,52.6027986149595,9.87785462064785,49.6957355449616,0,1.0157843360490704,0.0,0.0
-13.6706896922858,-13.5520836479841,-7.28873635029746,-15.0187929546139,-9.37431932613952,-6.71528856257489,-6.71528856257489,-15.8820082268487,42.4765425783698,0.264526206959272,31.5013878359401,0,1.0666902803827554,0.0,0.0
-7.03681984103983,-5.78195716114435,-14.5593572381204,-11.425319252423,-16.1210540489685,-12.7598453366156,-12.7598453366156,-16.9285086982595,21.9804821529659,11.5940782074351,54.1433361703937,0,1.0315074862231643,0.0,0.0
-6.20949510380253,-3.27422007354535,-13.0430964938216,-13.1401095931893,-8.35051354991691,-11.8643689347091,-11.8643689347091,-14.3865594755779,40.8200153135229,35.3726338676352,43.3650911327626,0,1.0191765886336193,0.0,0.0
-8.59188909585355,-8.64132625589706,-15.3119767828467,-8.24096470109141,-8.20652495615464,-6.76931619120529,-6.76931619120529,-11.8637562458338,26.3724035619583,27.2887271059211,45.0660587510385,0,0.990284378460438,0.0,0.0
