logK_S_M,logK_I_M,logKd,logK_S_D,logK_S_DS,logK_I_D,logK_I_DI,logK_S_DI,kcat_DS,kcat_DSI,kcat_DSS,kcat_MS,Hill Slope,logK_I_D_difference,logK_I_D_abs_difference
-8.55150872090226,-8.30486736604851,-12.5845651299972,-10.3012271924652,-15.6720600404479,-16.8667750204839,-5.27044830600731,-16.1981279198872,0,60.6486297933385,34.1550701714004,0,0.10658554548276097,-11.59632671447659,11.59632671447659
-3.81719577773381,-16.1518168634395,-16.894023784725,-9.68104123996617,-13.8158022792251,-15.1903939613672,-6.48814973950898,-11.5277492507352,0,12.2875333497708,18.0521667571797,0,0.8828853371246136,-8.70224422185822,8.70224422185822
-9.36550260365242,-11.8157253939919,-6.12335660884343,-9.45895446454268,-14.2456919558952,-14.3986422498785,-13.3186112410263,-14.2882870905469,0,57.0723887758737,6.85437643715995,0,0.7834344236831252,-1.0800310088522007,1.0800310088522007
-12.0547640992072,-5.38758805739414,-10.2856930129812,-7.46917546604527,-6.01506151861837,-6.70326144915493,-4.60900588380732,-16.3925170843955,0,4.32628843296552,7.35047993646003,0,0.8842863775197467,-2.09425556534761,2.09425556534761
-8.34153971615387,-10.8583073217929,-6.84864095489355,-3.45487016268866,-5.79079976743599,-14.5556655711555,-4.52900741162104,-14.7743768796395,0,32.2269601046748,37.9473213030724,0,0.7532129783786842,-10.02665815953446,10.02665815953446
-7.31721524555841,-8.62592525135307,-11.6146785755181,-8.38332092262478,-15.2597470806981,-7.82485315150116,-6.61779301867634,-14.4195520475861,0,48.3493815731665,48.3359734751168,0,0.7202795970503645,-1.2070601328248198,1.2070601328248198
-6.86294820021931,-4.36643607355933,-3.56170180444559,-10.9806182749928,-14.6832523290194,-14.7063366389307,-4.20529940357665,-10.587768306375,0,62.5772835626383,17.5960699993127,0,0.45150743307762187,-10.501037235354051,10.501037235354051
-8.91570158540923,-9.75745304704644,-7.91990912355529,-11.6150333633837,-10.783138593846,-14.2726395529527,-7.4774345291378,-16.6052302669012,0,24.7010419495753,70.7005162400426,0,0.7320234543256828,-6.7952050238149,6.7952050238149
-4.05062724616658,-14.2293377817413,-10.8992980747642,-12.3268870341214,-3.62616333258804,-14.5028123522177,-6.43036558774672,-12.9341576711391,0,47.8226343394141,11.8966000294837,0,0.8727770698306879,-8.072446764470982,8.072446764470982
-7.70600882170815,-9.50734104699362,-11.0480725744162,-3.29862680122675,-7.37092146188952,-13.4193299367707,-4.18155714717833,-14.3514274535589,0,2.62008309275843,15.0567646309908,0,0.6981753733006268,-9.23777278959237,9.23777278959237
-11.0040693338676,-8.38139258617023,-13.7662615184286,-4.59218001839099,-12.7803129385146,-10.8790079035992,-3.33469459965127,-5.71415387331229,0,38.3597830457089,32.7173757038894,0,0.5137451937232949,-7.544313303947931,7.544313303947931
-5.40087866192358,-12.5024094721912,-6.02994222049834,-5.48829073901801,-15.6241393367704,-16.6661011108868,-11.1047794004711,-16.4390865326454,0,5.19511134743225,49.4361413159932,0,0.7121869620809039,-5.561321710415699,5.561321710415699
-5.98399433074053,-10.28926957341,-8.06643003918696,-16.9323785202806,-3.37957598102838,-14.1954959711451,-5.96721182304155,-16.2726692074654,0,15.3789416375337,20.1890028091148,0,0.6855576906987263,-8.22828414810355,8.22828414810355
-8.53075175620103,-14.0793597037108,-11.5180698250649,-8.55710593763087,-6.60371589125786,-13.4587502451055,-9.51233090539649,-14.5047671899386,0,24.5267732331238,56.6767810917576,0,0.7426082888160209,-3.94641933970901,3.94641933970901
-5.39112314127339,-9.56930604718113,-3.21583500998002,-9.15102680793079,-16.5131045236653,-14.4300468835905,-12.9602039675638,-13.3287690304946,0,26.4568578414561,16.4164124886564,0,0.8815212103844252,-1.4698429160266997,1.4698429160266997
-5.94272730716271,-15.5781881757989,-14.4600023675915,-5.18831634452753,-6.95732857947517,-14.1389541547569,-7.75839856492635,-13.7135470640981,0,17.3347678442253,51.0783786045795,0,0.7003900347783995,-6.380555589830551,6.380555589830551
-8.88680398162268,-12.3913352555097,-15.9370130463741,-4.66817911664816,-9.26679055165267,-7.4306563817421,-8.18290694184927,-14.6783684378145,0,55.7255423583789,15.8695133204106,0,0.7937855776615452,0.7522505601071696,0.7522505601071696
-7.28801594680874,-5.84363674027519,-10.7021117273811,-5.46759177695075,-4.62787348726205,-3.57349870701972,-6.84392747796047,-16.312638734946,0,42.2614268251054,70.3233932588599,0,0.8139836379006777,3.2704287709407502,3.2704287709407502
-14.103704703677,-11.5902560026171,-14.1791949955253,-7.08174502787041,-7.8979522479591,-11.8646582200821,-4.24993616735283,-15.8010143491169,0,3.63625314241508,15.6840338927577,0,0.7734370241307131,-7.61472205272927,7.61472205272927
-4.35260399353039,-8.25851741894428,-5.35329165085219,-11.3539327260233,-16.575611285652,-14.2881473779678,-6.24029016259219,-12.9754989111368,0,46.9824527443328,42.0929827317072,0,0.6380637343098768,-8.04785721537561,8.04785721537561
-3.92425815627445,-9.45361137709394,-10.3257135258904,-3.96606284174882,-16.1546399433757,-14.8168478970681,-4.74516778306803,-9.00122985098092,0,27.5155967359606,43.4210721271229,0,0.8667855872720589,-10.07168011400007,10.07168011400007
-8.01712822474539,-7.28366724542389,-3.68070225972449,-14.5668582033026,-13.2227343809782,-15.6292618667157,-4.08168760137958,-16.1695421114187,0,29.1888196284184,7.09050406208262,0,0.5430168539661542,-11.54757426533612,11.54757426533612
-11.5723342476063,-14.6495448105196,-13.5764784961301,-6.26088163564168,-14.3660553360637,-9.69271369662602,-11.531877963549,-15.6215090005295,0,57.1712211504579,14.0449901014392,0,0.8053518824935212,1.83916426692298,1.83916426692298
-13.0490413128962,-15.5541685378016,-16.1390907954308,-6.71197650650237,-7.95998226624541,-15.8644052516706,-6.82820552422898,-15.9429206519723,0,14.773592839198,8.07405097049195,0,0.6784190027019614,-9.03619972744162,9.03619972744162
-6.42430514993751,-6.44844318686565,-13.7851952563627,-9.65334314397257,-12.0979194654007,-13.8288259683354,-5.20395533866994,-12.9915563787464,0,74.0906194726063,47.455930056033,0,0.21215387565509997,-8.624870629665459,8.624870629665459
-10.2300690984903,-7.67292612277996,-11.6935211348156,-16.9508286434999,-10.7433840645682,-16.9035576437442,-6.47633154328773,-12.3880298332549,0,35.1540374882868,6.71645039326977,0,0.67220040475197,-10.427226100456469,10.427226100456469
-7.37065388025437,-5.10599960079417,-16.9749071557787,-4.98368352954974,-13.356914672303,-12.5217097362541,-5.05999084335146,-12.1341834675712,0,57.5713920496346,16.8900026633637,0,0.27312747289024975,-7.461718892902641,7.461718892902641
-6.11825723351957,-8.15900196397211,-15.7832534829793,-8.18710663482221,-15.4255847244039,-10.412116214687,-6.26014806010295,-15.6125603870801,0,54.4876104836992,24.8533595400222,0,0.14271607292669108,-4.15196815458405,4.15196815458405
-6.14302579986583,-15.5590167155853,-14.6095865267674,-9.90130255141854,-10.4778423017575,-16.6504295174293,-3.77071712340228,-15.5106856032941,0,59.9448374823143,53.81924482467,0,0.6461829587039171,-12.879712394027019,12.879712394027019
-6.38994652444124,-6.52556169987051,-10.5747845758605,-7.01295556070004,-10.4506893328791,-11.701659321656,-6.17339876814093,-3.93828165320586,0,13.3494695181667,42.778845145792,0,0.8931230224819976,-5.528260553515071,5.528260553515071
