logK_S_M,logK_I_M,logKd,logK_S_D,logK_S_DS,logK_I_D,logK_I_DI,logK_S_DI,kcat_DS,kcat_DSI,kcat_DSS,kcat_MS,Hill Slope,logK_I_D_difference,logK_I_D_abs_difference
-9.53219276594138,-13.968904382851,-3.13560319578415,-5.80790659728553,-3.14849546532333,-5.28553013055027,-5.28553013055027,-15.3382735905098,0,40.2844876256422,74.4072105922562,0,1.584622421998088,0.0,0.0
-10.0907389895748,-15.591534918712,-15.9483589712395,-4.51764729237184,-10.3119816329028,-3.65590791393071,-3.65590791393071,-9.46764782963926,0,9.84958950575092,64.0286734238849,0,1.5243393639491287,0.0,0.0
-9.82671125491848,-7.98765451199561,-14.7970372994635,-5.01338533490151,-16.7289214154701,-9.59273851613747,-9.59273851613747,-8.54984957961552,0,9.99469781419029,52.8258516096161,0,1.747517861520415,0.0,0.0
-16.4621164141353,-14.482161676642,-12.4538651686725,-14.2703021811824,-10.7068321368378,-16.7825833842768,-16.7825833842768,-8.70245589307556,0,51.2575117200671,57.1126564984268,0,1.6162197173623267,0.0,0.0
-11.2582583363806,-8.1272408167501,-9.59048817771999,-11.6843430125075,-10.5864571077428,-12.9773301353678,-12.9773301353678,-6.53232014301233,0,54.4429587450286,57.8259531512973,0,1.8010747072558395,0.0,0.0
-4.39370220752247,-6.6004679820668,-10.539258728662,-10.7664520022953,-15.1865954507878,-7.43561362061696,-7.43561362061696,-7.35507638193062,0,12.4303423667676,40.1481256831961,0,1.6290672855309198,0.0,0.0
-6.199789662241,-14.7796164255659,-13.7089326219894,-11.7845800919081,-15.8649808477541,-15.801536908533,-15.801536908533,-12.6821368507575,0,7.0439195730316,53.2000999151263,0,1.510958567090881,0.0,0.0
-4.49206127819838,-3.63709759756271,-10.3115489199744,-11.0439650115031,-8.62561447617505,-13.3884359222353,-13.3884359222353,-4.38904639185546,0,70.0834746799374,59.0438563656528,0,1.7196387081621811,0.0,0.0
-12.5698190689972,-9.4319479191741,-11.8790484745302,-14.5046224925653,-13.3875066824551,-9.70573839704599,-9.70573839704599,-12.3797015347066,0,48.7552236565738,42.6457078192325,0,1.5166253368863607,0.0,0.0
-10.4198238202366,-10.9371056559794,-14.9052689339528,-14.5187580195689,-8.60410809505731,-12.3409533743681,-12.3409533743681,-4.78325095313508,0,5.62268420432811,51.2057009890093,0,1.9227719169504955,0.0,0.0
