logK_S_M,logK_I_M,logKd,logK_S_D,logK_S_DS,logK_I_D,logK_I_DI,logK_S_DI,kcat_DS,kcat_DSI,kcat_DSS,kcat_MS,Hill Slope,logK_I_D_difference,logK_I_D_abs_difference
-12.4840550718992,-5.61439405035507,-14.3860326948119,-14.0935349709736,-10.0741711797593,-3.51119367161393,-3.51119367161393,-15.8911321646273,0,49.3792832581617,27.3975041936617,0,0.4014036154858772,0.0,0.0
-13.2762131607174,-11.4185424109376,-12.9821275306153,-10.1700460100821,-12.9755220672251,-14.5712247532913,-14.5712247532913,-14.2436565163075,0,46.1592359771021,10.0130795509263,0,0.8029844556089397,0.0,0.0
-6.99136046839412,-3.40426664478704,-8.45873385640327,-12.6430116591319,-16.0104828806296,-5.86899318969389,-5.86899318969389,-16.1913896413222,0,63.1313397431164,37.6715539174969,0,0.6246643654032183,0.0,0.0
-9.21066625472624,-14.5429727115952,-8.21090062279441,-4.49087765594339,-13.4048709714846,-14.1986589180799,-14.1986589180799,-16.4908482180787,0,39.9545898622891,36.2054975540901,0,0.8406197029728405,0.0,0.0
-10.9984830988226,-14.9755214465675,-16.9735181634305,-9.69589266378665,-4.60728300076211,-11.7285553160612,-11.7285553160612,-14.4487023344007,0,60.3119411471067,20.1985340176674,0,0.8272714040016086,0.0,0.0
-4.06650139872404,-8.34167756123934,-13.6737552114162,-8.76710866098572,-16.7461579957064,-11.7181968101286,-11.7181968101286,-16.5119756261483,0,54.7143403734779,45.2467528893321,0,0.5106124911918148,0.0,0.0
-4.25665165584022,-16.8153813495911,-15.0486589676952,-4.0879232864636,-10.1658229068578,-13.7606224374925,-13.7606224374925,-14.7546516112993,0,35.8607907844358,19.7233763236902,0,0.766971747850696,0.0,0.0
-13.1937478782195,-14.5960254223482,-12.7216896470296,-9.62630705050705,-14.4106636901423,-13.6842779112901,-13.6842779112901,-14.9593699299772,0,57.6565740884515,22.5522720157576,0,0.7517597750073491,0.0,0.0
-4.10344704479631,-13.7034311565533,-13.3824365314068,-7.55582220838685,-15.4253814765182,-14.3634043413503,-14.3634043413503,-15.0575555725284,0,54.6294254677836,32.850145433913,0,0.4292063484196039,0.0,0.0
-8.28867206848459,-6.58108300860366,-13.0676125569833,-11.1329265913628,-7.71849710212415,-4.14247098434577,-4.14247098434577,-16.4057852154258,0,49.8862111464143,62.2888838280283,0,0.7198175959149217,0.0,0.0
-7.89109298908152,-8.66153815323533,-6.00401944619277,-3.52833722702879,-5.68036433713231,-11.1544494559779,-11.1544494559779,-16.7147761530727,0,70.9855826335552,45.5951590818353,0,0.88089115307511,0.0,0.0
-9.08479139658436,-12.8523048337647,-14.5035499534211,-11.5659069430861,-16.3707637307285,-12.4707727295482,-12.4707727295482,-15.3990824352237,0,25.0653611502901,15.5848749951809,0,0.7455931501610463,0.0,0.0
-5.32150612997264,-14.6454366674121,-15.0914710581852,-15.4654231180688,-7.00458568671159,-15.6043347386401,-15.6043347386401,-15.7701643418353,0,58.8433566153457,10.8902586446784,0,0.735276437805109,0.0,0.0
-5.86748874378949,-7.88978377983021,-11.10492075752,-10.7868158573448,-13.5648654989824,-12.6897451241133,-12.6897451241133,-16.0868738647369,0,14.6159186109959,10.2837492939841,0,0.3438025172206821,0.0,0.0
-8.22475657766312,-7.85870493631111,-8.79975194949424,-13.4182900352781,-8.40442198217427,-9.93432138364017,-9.93432138364017,-16.4275966844838,0,34.0185303168255,7.53159899605089,0,0.18980921188705313,0.0,0.0
-4.58753077615705,-14.9392506402507,-10.5679153884235,-3.01560731058428,-12.1292469530525,-14.0843925949731,-14.0843925949731,-15.0393968799938,0,6.77174273381825,20.2518159835017,0,0.8358946057363877,0.0,0.0
-12.303728073223,-14.0857870346992,-15.6034793145736,-7.70436968591856,-3.62892496620631,-12.1502920532501,-12.1502920532501,-16.8264902331266,0,48.6759577256162,24.4446486063302,0,0.8593431211058699,0.0,0.0
-3.57576130455965,-13.8717088887319,-11.5900574873085,-7.39643378184875,-4.79739165426837,-12.0592553521777,-12.0592553521777,-16.6640677065104,0,30.0993323984847,64.8292081082182,0,0.6993554093838872,0.0,0.0
-5.98581053084927,-15.5520080439681,-10.6751924476759,-12.4202281222437,-10.1974823390548,-15.5178684841539,-15.5178684841539,-15.4689947671592,0,32.7052239304874,17.7709492846916,0,0.6728906672429047,0.0,0.0
-9.84814200775372,-3.13236673350399,-16.2616851991927,-14.5524953008676,-11.4120602241219,-15.201885792071,-15.201885792071,-16.7984311519368,0,27.461294852657,17.9849999332975,0,0.3626684648093716,0.0,0.0
-7.4550413453076,-8.06960085953726,-13.3612705305847,-8.82425433662813,-3.06528414413752,-4.6700514528621,-4.6700514528621,-16.8995109185535,0,69.0773787536134,63.0125602597778,0,0.7009536720758095,0.0,0.0
-4.88332819654886,-4.02580359019944,-5.60184235655237,-11.9654371892712,-14.7618814086481,-12.8866902011759,-12.8866902011759,-16.0319289232143,0,51.0985262848553,17.5969876717078,0,0.49230230859157975,0.0,0.0
-10.9193922956032,-12.3684798669219,-14.1302542683519,-13.5222660818268,-11.3594033386405,-11.285060758539,-11.285060758539,-14.5081681871237,0,60.2081404096854,19.5917939432664,0,0.7045720666585189,0.0,0.0
-9.72660194746964,-10.1332187887048,-11.8727799495314,-14.885792911049,-10.9270872576581,-13.4708752148603,-13.4708752148603,-14.8404330274211,0,68.5596582849103,25.8587527121301,0,0.6289063339233593,0.0,0.0
-5.34324619060522,-13.6206913230466,-6.95861142878467,-3.6114734815564,-15.0135580329569,-13.1416492053405,-13.1416492053405,-16.3319245250598,0,56.6208146273915,42.351669803221,0,0.8780233297696514,0.0,0.0
-8.68826019287715,-7.43764399882546,-6.41483010629192,-15.3826628546515,-13.0248795596506,-13.5092759873495,-13.5092759873495,-15.2411812674399,0,74.5256601174187,29.9194755097968,0,0.8736265741196798,0.0,0.0
-3.40255477754399,-12.4218328611371,-16.605197353397,-5.93678879119363,-13.2784504786185,-8.88041522040963,-8.88041522040963,-16.8407595792608,0,42.7576005734503,16.3388647733547,0,0.2175341838454233,0.0,0.0
-5.54673291267874,-12.5841200445765,-7.06251466706349,-7.49765072326688,-7.26876667499682,-12.7678196698492,-12.7678196698492,-16.6327755346182,0,37.2472479034506,52.6983694845345,0,0.8011255661535899,0.0,0.0
-12.2118284724476,-8.67422978659486,-8.3225464172354,-8.73620684496174,-16.0388456008318,-8.82168021713896,-8.82168021713896,-15.8487935574069,0,70.1599021675531,2.16025583206792,0,0.8334507694388688,0.0,0.0
