Log10_Inhibitor,Percentage_Activity
-13.8155,27.8048
-13.8155,24.9186
-13.8155,27.9258
-13.3969,45.837
-13.3969,43.6765
-13.3969,40.9346
-12.9782,56.6987
-12.9782,57.9042
-12.9782,59.6093
-12.5596,75.5414
-12.5596,80.576
-12.5596,81.3726
-12.1409,86.6316
-12.1409,92.9957
-12.1409,86.4692
-11.7223,96.9902
-11.7223,100
-11.7223,92.4488
-11.3036,84.2616
-11.3036,87.6347
-11.3036,86.3682
-10.8849,70.2468
-10.8849,68.6834
-10.8849,66.1582
-10.4663,44.6665
-10.4663,42.2493
-10.4663,42.0487
-10.0476,24.6854
-10.0476,21.4394
-10.0476,28.6921
-9.629,8.3459
-9.629,10.6696
-9.629,4.8296
-9.2103,4.377
-9.2103,3.5187
-9.2103,0
