,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha:E100_S1350,0.86,0.036,0.793,0.928,0.002,0.002,297.0,450.0,1.02
alpha:E100_S50,1.292,0.058,1.185,1.402,0.003,0.002,312.0,434.0,1.02
alpha:E100_S750,1.022,0.043,0.939,1.1,0.003,0.002,311.0,450.0,1.02
alpha:E50_S150,1.205,0.052,1.107,1.303,0.002,0.002,520.0,741.0,1.0
dE:100,60.089,3.293,54.034,66.517,0.197,0.14,284.0,778.0,1.01
dE:25,31.491,2.445,26.889,36.033,0.091,0.065,725.0,2066.0,1.01
dE:50,55.399,3.24,49.625,61.789,0.201,0.142,260.0,842.0,1.01
kcat_DS,2.606,1.19,0.773,4.948,0.089,0.066,168.0,179.0,1.03
kcat_DSI:1,11.733,4.932,4.058,19.997,0.203,0.15,528.0,484.0,1.0
kcat_DSI:10,12.285,4.697,4.565,19.846,0.212,0.155,466.0,739.0,1.01
kcat_DSI:11,12.73,4.588,5.293,19.988,0.217,0.157,411.0,651.0,1.0
kcat_DSI:12,12.824,4.548,5.049,19.941,0.207,0.157,451.0,720.0,1.0
kcat_DSI:13,9.121,5.279,1.447,18.807,0.446,0.342,126.0,92.0,1.03
kcat_DSI:2,12.55,4.704,4.84,19.985,0.204,0.149,476.0,549.0,1.0
kcat_DSI:3,13.593,4.22,6.395,19.997,0.158,0.116,641.0,737.0,1.01
kcat_DSI:4,1.34,0.3,0.802,1.898,0.019,0.013,227.0,645.0,1.01
kcat_DSI:5,12.005,4.804,3.98,19.659,0.236,0.167,421.0,1112.0,1.01
kcat_DSI:6,3.513,4.077,0.437,12.539,0.325,0.23,128.0,520.0,1.02
kcat_DSI:7,1.373,0.883,0.76,1.956,0.085,0.06,203.0,157.0,1.02
kcat_DSI:8,12.154,4.729,4.578,19.98,0.215,0.154,447.0,604.0,1.02
kcat_DSI:9,13.317,4.413,5.936,19.998,0.223,0.158,417.0,840.0,1.01
kcat_DSS,0.146,0.012,0.123,0.168,0.001,0.001,225.0,594.0,1.02
logK_I_D:1,-13.182,4.417,-20.743,-5.967,0.762,0.551,35.0,262.0,1.08
logK_I_D:10,-13.008,2.921,-17.638,-7.776,0.347,0.248,74.0,395.0,1.07
logK_I_D:11,-12.313,2.828,-16.948,-7.422,0.238,0.169,150.0,523.0,1.03
logK_I_D:12,-11.128,3.068,-15.951,-5.465,0.418,0.297,51.0,154.0,1.06
logK_I_D:13,-12.863,2.897,-18.128,-8.995,0.891,0.648,10.0,123.0,1.33
logK_I_D:2,-10.763,2.963,-15.838,-5.505,0.187,0.132,277.0,738.0,1.05
logK_I_D:3,-12.434,2.758,-17.277,-7.902,0.361,0.266,75.0,381.0,1.07
logK_I_D:4,-18.284,2.445,-21.94,-13.226,0.26,0.185,94.0,97.0,1.05
logK_I_D:5,-11.226,3.211,-16.299,-5.629,0.299,0.212,141.0,699.0,1.04
logK_I_D:6,-16.272,3.307,-21.8,-10.982,0.345,0.244,107.0,309.0,1.03
logK_I_D:7,-18.455,2.437,-22.345,-13.334,0.248,0.181,101.0,122.0,1.04
logK_I_D:8,-10.52,3.203,-16.004,-5.19,0.436,0.323,54.0,87.0,1.07
logK_I_D:9,-12.97,3.207,-18.063,-7.785,0.341,0.242,91.0,347.0,1.02
logK_I_DI:1,-14.731,7.835,-27.624,-1.967,0.973,0.691,65.0,289.0,1.06
logK_I_DI:10,-22.064,2.876,-27.003,-17.429,0.329,0.234,77.0,392.0,1.06
logK_I_DI:11,-22.617,2.805,-27.44,-18.078,0.234,0.166,158.0,418.0,1.03
logK_I_DI:12,-21.59,3.012,-27.212,-17.058,0.405,0.291,51.0,116.0,1.06
