,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha:E100_S1350,0.859,0.035,0.794,0.927,0.003,0.002,143.0,371.0,1.02
alpha:E100_S50,1.292,0.057,1.189,1.402,0.005,0.003,145.0,325.0,1.02
alpha:E100_S750,1.022,0.042,0.946,1.103,0.003,0.002,151.0,296.0,1.02
alpha:E50_S150,1.199,0.053,1.097,1.295,0.003,0.002,357.0,860.0,1.01
dE:100,59.835,3.191,53.884,66.115,0.287,0.204,125.0,216.0,1.03
dE:25,31.258,2.439,26.679,35.825,0.137,0.097,315.0,711.0,1.0
dE:50,55.365,3.125,49.596,61.172,0.288,0.205,118.0,348.0,1.03
kcat_DS,2.529,1.227,0.555,4.688,0.099,0.07,145.0,274.0,1.02
kcat_DSI:1,12.141,4.896,4.411,19.985,0.321,0.237,204.0,146.0,1.01
kcat_DSI:10,12.523,4.719,4.707,19.996,0.357,0.26,158.0,229.0,1.02
kcat_DSI:11,12.628,4.507,5.3,19.959,0.12,0.087,1295.0,1186.0,1.0
kcat_DSI:12,12.822,4.521,5.304,19.989,0.232,0.172,345.0,386.0,1.01
kcat_DSI:13,8.601,5.451,1.158,18.487,0.233,0.165,512.0,1148.0,1.01
kcat_DSI:2,12.511,4.711,4.794,19.979,0.093,0.069,2295.0,1586.0,1.0
kcat_DSI:3,13.725,4.313,6.208,19.997,0.142,0.107,747.0,720.0,1.0
kcat_DSI:4,1.388,0.293,0.862,1.962,0.017,0.012,285.0,470.0,1.01
kcat_DSI:5,12.134,4.588,4.656,19.901,0.247,0.177,344.0,535.0,1.02
kcat_DSI:6,3.846,4.51,0.48,14.771,0.473,0.336,68.0,301.0,1.07
kcat_DSI:7,1.32,0.36,0.811,1.885,0.027,0.019,89.0,478.0,1.04
kcat_DSI:8,11.818,4.687,4.392,19.938,0.283,0.204,265.0,444.0,1.01
kcat_DSI:9,14.069,4.316,6.654,19.998,0.276,0.199,221.0,207.0,1.02
kcat_DSS,0.147,0.012,0.125,0.17,0.001,0.001,110.0,224.0,1.03
logK_I_D:1,-12.34,4.163,-19.402,-5.15,0.607,0.432,38.0,59.0,1.09
logK_I_D:10,-12.109,2.936,-17.063,-7.402,0.595,0.438,26.0,179.0,1.11
logK_I_D:11,-11.799,2.96,-16.91,-7.247,0.31,0.22,90.0,191.0,1.03
logK_I_D:12,-10.012,2.917,-14.95,-4.954,0.386,0.274,57.0,151.0,1.05
logK_I_D:13,-14.653,2.567,-19.623,-10.514,0.482,0.344,26.0,38.0,1.12
logK_I_D:2,-10.832,3.171,-16.117,-5.518,0.216,0.153,210.0,396.0,1.03
logK_I_D:3,-12.937,2.833,-17.157,-7.292,0.345,0.245,68.0,79.0,1.03
logK_I_D:4,-17.288,2.763,-21.573,-12.396,0.384,0.273,50.0,173.0,1.08
logK_I_D:5,-10.471,3.436,-16.334,-5.259,0.331,0.235,105.0,249.0,1.02
