MAP index:804

Kinetics parameters:
alpha:18289-2 : 0.520
alpha:18495-1 : 0.509
alpha:18775-1 : 0.588
alpha:E100_S1350 : 0.853
alpha:E100_S50 : 1.284
alpha:E100_S750 : 1.027
alpha:E50_S150 : 1.178
dE:100 : 53.904
dE:25 : 30.391
dE:50 : 50.141
kcat_DS : 4.227
kcat_DSI:1 : 19.626
kcat_DSI:10 : 5.033
kcat_DSI:11 : 13.599
kcat_DSI:12 : 8.365
kcat_DSI:13 : 12.241
kcat_DSI:14 : 15.529
kcat_DSI:15 : 0.200
kcat_DSI:2 : 8.220
kcat_DSI:3 : 18.256
kcat_DSI:4 : 1.321
kcat_DSI:5 : 18.879
kcat_DSI:6 : 0.945
kcat_DSI:7 : 1.036
kcat_DSI:8 : 19.440
kcat_DSI:9 : 19.615
kcat_DSS : 0.165
logK_I_D:1 : -11.363
logK_I_D:10 : -8.346
logK_I_D:11 : -10.795
logK_I_D:12 : -6.194
logK_I_D:13 : -12.520
logK_I_D:14 : -17.113
logK_I_D:15 : -15.212
logK_I_D:2 : -8.533
logK_I_D:3 : -15.389
logK_I_D:4 : -14.430
logK_I_D:5 : -7.582
logK_I_D:6 : -15.456
logK_I_D:7 : -17.933
logK_I_D:8 : -12.396
logK_I_D:9 : -14.023
logK_I_DI:1 : -12.396
logK_I_DI:10 : -27.353
logK_I_DI:11 : -24.831
logK_I_DI:12 : -27.293
logK_I_DI:13 : -25.152
logK_I_DI:14 : -16.604
logK_I_DI:15 : -26.889
logK_I_DI:2 : -25.264
logK_I_DI:3 : -20.358
logK_I_DI:4 : -24.820
logK_I_DI:5 : -26.425
logK_I_DI:6 : -24.313
logK_I_DI:7 : -21.959
logK_I_DI:8 : -20.743
logK_I_DI:9 : -21.843
logK_I_M:1 : -16.372
logK_I_M:10 : -0.664
logK_I_M:11 : -9.746
logK_I_M:12 : -0.403
logK_I_M:13 : -2.356
logK_I_M:14 : -11.065
logK_I_M:15 : -7.159
logK_I_M:2 : -8.585
logK_I_M:3 : -1.982
logK_I_M:4 : -6.035
logK_I_M:5 : -3.253
logK_I_M:6 : -15.865
logK_I_M:7 : -2.763
logK_I_M:8 : -1.404
logK_I_M:9 : -5.637
logK_S_D : -15.333
logK_S_DI:1 : -21.502
logK_S_DI:10 : -23.504
logK_S_DI:11 : -20.070
logK_S_DI:12 : -24.038
logK_S_DI:13 : -19.417
logK_S_DI:14 : -12.736
logK_S_DI:15 : -23.126
logK_S_DI:2 : -21.905
logK_S_DI:3 : -15.193
logK_S_DI:4 : -20.638
logK_S_DI:5 : -22.157
logK_S_DI:6 : -20.629
logK_S_DI:7 : -17.707
logK_S_DI:8 : -16.892
logK_S_DI:9 : -16.574
logK_S_DS : -16.967
logK_S_M : -8.121
logKd : -9.431
log_sigma:00153:0 : -22.944
log_sigma:00153:1 : -25.962
log_sigma:00153:2 : -23.428
log_sigma:00153:3 : -23.917
log_sigma:00214:0 : -23.416
log_sigma:00214:1 : -25.543
log_sigma:00214:2 : -22.892
log_sigma:00214:3 : -24.056
log_sigma:00223:0 : -23.078
log_sigma:00223:1 : -25.621
log_sigma:00223:2 : -23.102
log_sigma:00223:3 : -24.707
log_sigma:00272:0 : -25.282
log_sigma:00272:1 : -26.525
log_sigma:00272:2 : -23.077
log_sigma:00272:3 : -24.195
log_sigma:00577:0 : -23.081
log_sigma:00577:1 : -25.643
log_sigma:00577:2 : -23.082
log_sigma:00577:3 : -24.623
log_sigma:00654:0 : -22.860
log_sigma:00654:1 : -24.897
log_sigma:00654:2 : -23.221
log_sigma:00654:3 : -25.419
log_sigma:00733:0 : -25.324
log_sigma:00733:1 : -26.263
log_sigma:00733:2 : -23.034
log_sigma:00733:3 : -24.134
log_sigma:00773:0 : -23.781
log_sigma:00773:1 : -25.438
log_sigma:00773:2 : -23.568
log_sigma:00773:3 : -24.408
log_sigma:08374:0 : -23.665
log_sigma:08374:1 : -25.728
log_sigma:08374:2 : -23.271
log_sigma:08374:3 : -24.716
log_sigma:08401:0 : -23.244
log_sigma:08401:1 : -25.220
log_sigma:08401:2 : -23.128
log_sigma:08401:3 : -24.329
log_sigma:08420:0 : -23.309
log_sigma:08420:1 : -25.585
log_sigma:08420:2 : -23.230
log_sigma:08420:3 : -24.598
log_sigma:08452:0 : -24.739
log_sigma:08452:1 : -23.071
log_sigma:08452:2 : -25.529
log_sigma:08452:3 : -23.171
log_sigma:08452:4 : -24.477
log_sigma:08502:0 : -23.194
log_sigma:08502:1 : -25.726
log_sigma:08502:2 : -23.027
log_sigma:08502:3 : -24.698
log_sigma:08642:0 : -24.847
log_sigma:11124:0 : -24.290
log_sigma:ES:0 : -23.316
