Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),Hill (Num),PGP,Hour_after,IC90 (Num) (uM),IC90 (Mod)
Mavda,TMPRSS2,ASAP-0015637,6.96,=,-3.31,0,,,
Mavda,TMPRSS2,ASAP-0015637,5.52,=,-3.38,0,,,
Mavda,TMPRSS2,ASAP-0013722,0.287,=,-2.34,0,,,
Mavda,TMPRSS2,ASAP-0013722,0.215,=,-2.31,0,,,
Mavda,TMPRSS2,ASAP-0013414,0.411,=,-2.62,0,,,
Mavda,TMPRSS2,ASAP-0013414,0.341,=,-2.98,0,,,
Mavda,TMPRSS2,ASAP-0013398,0.653,=,-3.49,0,,,
Mavda,TMPRSS2,ASAP-0013398,0.579,=,-3.56,0,,,
Mavda,TMPRSS2,ASAP-0013299,8.33,=,-2.59,0,,,
Mavda,TMPRSS2,ASAP-0013299,7.32,=,-2.62,0,,,
Mavda,TMPRSS2,ASAP-0013298,36,>,-1.31,0,,,
Mavda,TMPRSS2,ASAP-0013298,36,>,-3.84,0,,,
Mavda,TMPRSS2,ASAP-0013273,2.59,=,-3.15,0,,,
Mavda,TMPRSS2,ASAP-0013273,2.73,=,-2.57,0,,,
Mavda,TMPRSS2,ASAP-0013265,9.97,=,-3.22,0,,,
Mavda,TMPRSS2,ASAP-0013265,9.35,=,-3.67,0,,,
Mavda,TMPRSS2,ASAP-0012337,17.8,=,-8.7,0,,,
Mavda,TMPRSS2,ASAP-0012337,36,=,-2.92,0,,,
Mavda,TMPRSS2,ASAP-0011485,12.3,=,-16.6,0,,,
Mavda,TMPRSS2,ASAP-0011485,12.6,=,-3.68,0,,,
Mavda,TMPRSS2,ASAP-0011141,2.31,=,-2.79,0,,,
Mavda,TMPRSS2,ASAP-0011141,2.21,=,-2.72,0,,,
Mavda,TMPRSS2,ASAP-0011138,13.1,=,-10.7,0,,,
Mavda,TMPRSS2,ASAP-0011138,13,=,-11.1,0,,,
Mavda,TMPRSS2,ASAP-0011137,10.9,=,-2.19,0,,,
Mavda,TMPRSS2,ASAP-0011137,9.55,=,-2.99,0,,,
Mavda,TMPRSS2,ASAP-0011129,2.18,=,-2.07,0,,,
Mavda,TMPRSS2,ASAP-0011129,2.28,=,-2.32,0,,,
Mavda,TMPRSS2,ASAP-0000733,2.66,=,-2.2,0,,,
Mavda,TMPRSS2,ASAP-0000733,2.56,=,-2.33,0,,,
Mavda,TMPRSS2,ASAP-0000370,4.2,=,-6.4,0,,,
Mavda,TMPRSS2,ASAP-0000370,3.59,=,-4.73,0,,,
Mavda,TMPRSS2,ASAP-0015679,1.33,=,-11.6,1,48,,
