Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0015679,0.641,2.87,1,72
Mavda,TMPRSS2,ASAP-0015679,0.918,2.67,1,72
Mavda,TMPRSS2,ASAP-0015677,0.169,2.33,1,72
Mavda,TMPRSS2,ASAP-0015677,0.184,1.81,1,72
Mavda,TMPRSS2,ASAP-0015672,0.172,2.74,1,72
Mavda,TMPRSS2,ASAP-0015672,0.149,2.06,1,72
Mavda,TMPRSS2,ASAP-0015666,0.703,3.24,1,72
Mavda,TMPRSS2,ASAP-0015666,0.719,1.62,1,72
Mavda,TMPRSS2,ASAP-0015663,0.608,3.55,1,72
Mavda,TMPRSS2,ASAP-0015663,0.526,3.2,1,72
Mavda,TMPRSS2,ASAP-0015660,0.116,2.14,1,72
Mavda,TMPRSS2,ASAP-0015660,0.271,2.38,1,72
Mavda,TMPRSS2,ASAP-0015657,0.595,2.48,1,72
Mavda,TMPRSS2,ASAP-0015657,0.532,2.09,1,72
Mavda,TMPRSS2,ASAP-0015656,0.22,2.34,1,72
Mavda,TMPRSS2,ASAP-0015656,0.279,2.36,1,72
Mavda,TMPRSS2,ASAP-0015648,0.674,3.03,1,72
Mavda,TMPRSS2,ASAP-0015648,0.623,2.16,1,72
Mavda,TMPRSS2,ASAP-0015638,0.739,2.47,1,72
Mavda,TMPRSS2,ASAP-0015638,0.625,2.26,1,72
Mavda,TMPRSS2,ASAP-0015637,0.053,12.8,1,72
Mavda,TMPRSS2,ASAP-0015637,0.054,11.5,1,72
Mavda,TMPRSS2,ASAP-0015637,0.111,2.61,1,72
Mavda,TMPRSS2,ASAP-0015637,0.078,4.17,1,72
Mavda,TMPRSS2,ASAP-0015517,0.844,2.59,1,72
Mavda,TMPRSS2,ASAP-0015517,0.821,2.9,1,72
Mavda,TMPRSS2,ASAP-0015514,0.602,1.98,1,72
Mavda,TMPRSS2,ASAP-0015514,0.606,1.56,1,72
Mavda,TMPRSS2,ASAP-0015512,0.402,1.53,1,72
Mavda,TMPRSS2,ASAP-0015512,0.335,0.948,1,72
Mavda,TMPRSS2,ASAP-0015508,0.395,1.59,1,72
Mavda,TMPRSS2,ASAP-0015508,0.444,2.07,1,72
Mavda,TMPRSS2,ASAP-0015376,0.306,2.08,1,72
Mavda,TMPRSS2,ASAP-0015376,0.33,2.29,1,72
Mavda,TMPRSS2,ASAP-0015294,0.439,12.5,1,72
Mavda,TMPRSS2,ASAP-0015294,0.46,3.72,1,72
Mavda,TMPRSS2,ASAP-0015242,0.702,2.62,1,72
Mavda,TMPRSS2,ASAP-0015242,0.835,2.16,1,72
Mavda,TMPRSS2,ASAP-0015239,1.7,3.54,1,72
Mavda,TMPRSS2,ASAP-0015239,1.38,,1,72
