Molecule Name,pIC50,hill
ASAP-0017740,6.69,1.795
ASAP-0017727,6.69,1.592
ASAP-0017714,7.16,0.917
ASAP-0017685,5.48,1.235
ASAP-0017681,7.28,1.851
ASAP-0017664,6.5,1.825
ASAP-0017661,7.33,1.909
ASAP-0017656,7.57,1.056
ASAP-0017653,7.36,1.254
ASAP-0017647,7.6,1.157
ASAP-0017451,5.58,4.254
ASAP-0017450,6.75,2.019
ASAP-0017449,7.39,1.314
ASAP-0017448,7.14,1.496
ASAP-0017447,6.39,2.415
ASAP-0017446,7.48,1.059
ASAP-0017445,7.43,1.245
ASAP-0017428,5.41,1.203
ASAP-0017393,4.59,1.224
ASAP-0017386,5.57,5.429
ASAP-0017370,7.27,1.697
ASAP-0017339,6.35,2.946
ASAP-0017328,6.69,2.162
ASAP-0017239,7.44,1.364
ASAP-0017238,7.49,1.758
ASAP-0017148,5.01,2.164
ASAP-0017058,6.81,2.17
ASAP-0017057,6.78,2.273
ASAP-0017056,6.97,2.294
ASAP-0016983,5.51,1.486
ASAP-0016974,7.18,0.903
ASAP-0016902,5.89,1.98
ASAP-0016846,7.26,2.086
ASAP-0016845,7.26,1.965
ASAP-0016823,7.18,2.058
ASAP-0016819,6.92,2.299
ASAP-0016593,6.83,2.567
ASAP-0016592,5.97,2.616
ASAP-0016591,6.49,2.713
ASAP-0016547,5.69,3.275
ASAP-0016546,5.63,5.043
ASAP-0016545,6.59,2.474
ASAP-0016544,5.75,3.919
ASAP-0016542,6.03,34.61
ASAP-0016541,5.86,21.812
ASAP-0016540,6.37,2.881
ASAP-0016539,7.29,1.962
ASAP-0016511,6.16,20.704
ASAP-0016510,7.21,2.336
ASAP-0016509,7.3,2.306
ASAP-0016508,5.69,6.179
ASAP-0016507,7.29,2.342
ASAP-0016506,7.57,2.135
ASAP-0016505,7.35,2.278
ASAP-0016504,6.57,2.552
ASAP-0016503,6.83,2.162
ASAP-0016440,4.45,1.498
ASAP-0016438,4.6,0.651
ASAP-0016377,6.95,2.784
ASAP-0016376,7.02,3.282
ASAP-0016375,7.22,2.492
ASAP-0016110,6.4,2.698
ASAP-0016106,6.58,2.481
ASAP-0016101,6.48,2.395
ASAP-0016097,7.23,2.026
ASAP-0016094,6.16,1.847
ASAP-0015916,6.63,2.3
ASAP-0015913,6.44,2.321
ASAP-0015910,6.73,2.339
ASAP-0015906,6.77,2.594
ASAP-0015904,7.04,2.209
ASAP-0015900,6.33,2.121
ASAP-0015896,6.81,2.47
ASAP-0015777,4.75,14.339
ASAP-0015773,6.05,2.321
ASAP-0015679,6.41,3.177
ASAP-0015677,6.72,2.575
ASAP-0015672,6.71,2.579
ASAP-0015669,6.65,2.598
ASAP-0015666,6.47,2.847
ASAP-0015663,6.57,2.772
ASAP-0015660,6.67,2.575
ASAP-0015657,6.74,2.584
ASAP-0015656,6.92,2.639
ASAP-0015652,6.67,2.601
ASAP-0015652,6.67,2.528
ASAP-0015648,5.94,2.48
ASAP-0015646,7.57,2.359
ASAP-0015642,6.61,2.811
ASAP-0015638,5.98,14.156
