Molecule Name,MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM)
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016983,7.886,5.51
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016974,0.144,7.18
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016973,,4.37
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016902,5.241,5.89
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016846,0.191,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016845,0.115,7.26
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016838,,4.75
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016823,0.322,7.18
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016819,0.41,6.92
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
ASAP-0016748,,8.56
