Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
usu,E6,ASAP-0014925,0.023,=,,
usu,E6,ASAP-0014888,25,=,,
usu,E6,ASAP-0014786,0.053,=,,
usu,E6,ASAP-0014784,32,>,,
usu,E6,ASAP-0014776,0.48,=,,
usu,E6,ASAP-0014773,0.15,=,,
usu,E6,ASAP-0014770,0.16,=,,
usu,E6,ASAP-0014764,0.069,=,,
usu,E6,ASAP-0014753,0.071,=,,
usu,E6,ASAP-0014750,0.063,=,,
usu,E6,ASAP-0014717,5.7,=,,
usu,E6,ASAP-0014551,32,>,,
usu,E6,ASAP-0013890,0.18,=,,
usu,E6,ASAP-0013722,0.13,=,,
usu,E6,ASAP-0013299,2.7,=,,
usu,E6,ASAP-0012335,4.6,=,,
usu,E6,ASAP-0011513,0.15,=,,
usu,E6,ASAP-0011445,0.17,=,,
usu,E6,ASAP-0011430,17,=,,
usu,E6,ASAP-0011359,0.78,=,,
usu,E6,ASAP-0011153,32,>,,
usu,E6,ASAP-0011137,4.7,=,,
usu,E6,ASAP-0011129,0.46,=,,
usu,E6,ASAP-0011127,32,>,,
usu,E6,ASAP-0011124,32,>,,
usu,E6,ASAP-0011049,28,=,,
usu,E6,ASAP-0008359,2.8,=,,
usu,E6,ASAP-0000738,0.57,=,,
usu,E6,ASAP-0000733,0.61,=,,
usu,E6,ASAP-0000654,1.7,=,,
usu,E6,ASAP-0000541,4.8,=,,
usu,E6,ASAP-0000526,1.7,=,,
usu,E6,ASAP-0000272,0.89,=,,
usu,E6,ASAP-0000205,1.3,=,,
usu,E6,ASAP-0000157,0.93,=,,
usu,E6,ASAP-0000153,0.11,=,,
sinai,E6,ASAP-0008376,6.02,=,,
sinai,E6,ASAP-0008376,2.83,=,,
sinai,E6,ASAP-0008359,1.38,=,,
sinai,E6,ASAP-0008359,1.06,=,,
sinai,E6,ASAP-0008330,3.19,=,,
sinai,E6,ASAP-0008330,1.21,=,,
sinai,E6,ASAP-0008315,8.32,=,,
sinai,E6,ASAP-0008315,8.08,=,,
sinai,E6,ASAP-0008314,1.12,=,,
sinai,E6,ASAP-0008314,1.06,=,,
sinai,E6,ASAP-0000738,2.06,=,,
sinai,E6,ASAP-0000738,2.11,=,,
sinai,E6,ASAP-0000738,1.23,=,,
sinai,E6,ASAP-0000734,8.6,=,,
sinai,E6,ASAP-0000734,10,>,,
sinai,E6,ASAP-0000733,0.589,=,,
sinai,E6,ASAP-0000733,0.307,=,,
sinai,E6,ASAP-0000733,0.206,<,,
sinai,E6,ASAP-0000654,0.544,=,,
sinai,E6,ASAP-0000654,0.507,=,,
sinai,E6,ASAP-0000580,3.16,=,,
sinai,E6,ASAP-0000580,3.12,=,,
sinai,E6,ASAP-0000577,3.06,=,,
sinai,E6,ASAP-0000577,1,=,,
sinai,E6,ASAP-0000541,5.69,=,,
sinai,E6,ASAP-0000541,1.61,=,,
sinai,E6,ASAP-0000541,1.23,=,,
sinai,E6,ASAP-0000528,10,>,,
sinai,E6,ASAP-0000528,50,>,,
sinai,E6,ASAP-0000377,10,>,,
sinai,E6,ASAP-0000375,10,>,,
sinai,E6,ASAP-0000375,20,>,,
sinai,E6,ASAP-0000375,7.65,=,,
sinai,E6,ASAP-0000374,0.596,=,,
sinai,E6,ASAP-0000374,4.52,=,,
sinai,E6,ASAP-0000372,8.63,=,,
sinai,E6,ASAP-0000372,18,=,,
sinai,E6,ASAP-0000372,1.07,=,,
sinai,E6,ASAP-0000370,2.06,=,,
sinai,E6,ASAP-0000272,1.15,=,,
sinai,E6,ASAP-0000272,0.21,=,,
sinai,E6,ASAP-0000272,0.526,=,,
sinai,E6,ASAP-0000226,3.3,=,,
sinai,E6,ASAP-0000226,3.31,=,,
sinai,E6,ASAP-0000225,1.81,=,,
sinai,E6,ASAP-0000225,1.12,=,,
sinai,E6,ASAP-0000221,2.81,=,,
sinai,E6,ASAP-0000221,1.98,=,,
sinai,E6,ASAP-0000219,6.22,=,,
sinai,E6,ASAP-0000219,10,>,,
sinai,E6,ASAP-0000217,7,=,,
sinai,E6,ASAP-0000217,2.35,=,,
sinai,E6,ASAP-0000216,1.06,=,,
sinai,E6,ASAP-0000216,0.979,=,,
sinai,E6,ASAP-0000214,4.79,=,,
sinai,E6,ASAP-0000214,8.32,=,,
sinai,E6,ASAP-0000212,1.69,=,,
sinai,E6,ASAP-0000212,0.878,=,,
sinai,E6,ASAP-0000211,0.818,=,,
sinai,E6,ASAP-0000211,1.02,=,,
sinai,E6,ASAP-0000209,2.48,=,,
sinai,E6,ASAP-0000209,2.84,=,,
sinai,E6,ASAP-0000207,4.54,=,,
sinai,E6,ASAP-0000207,8.77,=,,
sinai,E6,ASAP-0000205,1.09,=,,
sinai,E6,ASAP-0000205,1.07,=,,
sinai,E6,ASAP-0000185,3.3,=,,
sinai,E6,ASAP-0000185,3.29,=,,
sinai,E6,ASAP-0000184,3.82,=,,
sinai,E6,ASAP-0000184,4.31,=,,
sinai,E6,ASAP-0000184,5.81,=,,
sinai,E6,ASAP-0000175,0.322,=,,
sinai,E6,ASAP-0000175,0.296,=,,
sinai,E6,ASAP-0000175,0.206,<,,
sinai,E6,ASAP-0000169,0.678,=,,
sinai,E6,ASAP-0000169,0.76,=,,
sinai,E6,ASAP-0000168,1.01,=,,
sinai,E6,ASAP-0000168,0.977,=,,
sinai,E6,ASAP-0000164,10,>,,
sinai,E6,ASAP-0000164,10,>,,
sinai,E6,ASAP-0000162,1.79,=,,
sinai,E6,ASAP-0000162,1.09,=,,
sinai,E6,ASAP-0000159,1.83,=,,
sinai,E6,ASAP-0000159,0.995,=,,
sinai,E6,ASAP-0000157,1.02,=,,
sinai,E6,ASAP-0000157,0.475,=,,
sinai,E6,ASAP-0000156,10,>,,
sinai,E6,ASAP-0000156,10,>,,
sinai,E6,ASAP-0000155,1.23,=,,
sinai,E6,ASAP-0000155,1.04,=,,
sinai,E6,ASAP-0000153,0.259,=,,
sinai,E6,ASAP-0000153,0.22,=,,
sinai,TMPRSS2,ASAP-0015677,1.38,=,0,
sinai,TMPRSS2,ASAP-0015672,4.45,=,0,
sinai,TMPRSS2,ASAP-0015669,4.21,=,0,
sinai,TMPRSS2,ASAP-0015660,0.872,=,0,
sinai,TMPRSS2,ASAP-0015646,5,>,0,
sinai,TMPRSS2,ASAP-0015642,5,>,0,
sinai,TMPRSS2,ASAP-0015521,5,>,0,
sinai,TMPRSS2,ASAP-0015517,5,>,0,
sinai,TMPRSS2,ASAP-0015376,0.751,=,0,
sinai,TMPRSS2,ASAP-0015294,5,>,0,
sinai,TMPRSS2,ASAP-0015239,5,>,0,
sinai,TMPRSS2,ASAP-0015227,5,>,0,
sinai,TMPRSS2,ASAP-0015099,5,>,0,
sinai,TMPRSS2,ASAP-0015096,5,>,0,
sinai,TMPRSS2,ASAP-0015092,5,>,0,
sinai,TMPRSS2,ASAP-0015090,5,>,0,
sinai,TMPRSS2,ASAP-0015085,5,>,0,
sinai,TMPRSS2,ASAP-0014970,5,>,0,
sinai,TMPRSS2,ASAP-0014966,5,>,0,
sinai,TMPRSS2,ASAP-0014959,5,>,0,
sinai,TMPRSS2,ASAP-0014951,5,>,0,
sinai,TMPRSS2,ASAP-0014943,5,>,0,
sinai,TMPRSS2,ASAP-0014925,0.284,=,0,
sinai,TMPRSS2,ASAP-0014900,5,>,0,
sinai,TMPRSS2,ASAP-0014794,1.42,=,0,
sinai,TMPRSS2,ASAP-0014786,0.544,=,0,
sinai,TMPRSS2,ASAP-0014776,5,>,0,
sinai,TMPRSS2,ASAP-0014773,1.96,=,0,
sinai,TMPRSS2,ASAP-0014770,1.49,=,0,
sinai,TMPRSS2,ASAP-0014764,0.685,=,0,
sinai,TMPRSS2,ASAP-0014753,1.47,=,0,
sinai,TMPRSS2,ASAP-0014750,0.55,=,0,
sinai,TMPRSS2,ASAP-0014717,5,>,0,
sinai,TMPRSS2,ASAP-0016545,0.0962,=,1,
sinai,TMPRSS2,ASAP-0016540,0.184,=,1,
sinai,TMPRSS2,ASAP-0016539,1.05,=,1,
sinai,TMPRSS2,ASAP-0016510,0.0914,=,1,
sinai,TMPRSS2,ASAP-0016509,0.0263,=,1,
sinai,TMPRSS2,ASAP-0016507,0.0847,=,1,
sinai,TMPRSS2,ASAP-0016506,0.0177,=,1,
sinai,TMPRSS2,ASAP-0016505,0.061,=,1,
sinai,TMPRSS2,ASAP-0016504,0.222,=,1,
sinai,TMPRSS2,ASAP-0016503,0.0927,=,1,
sinai,TMPRSS2,ASAP-0016377,0.671,=,1,
sinai,TMPRSS2,ASAP-0016377,0.636,=,1,
sinai,TMPRSS2,ASAP-0016376,0.615,=,1,
sinai,TMPRSS2,ASAP-0016376,0.615,=,1,
sinai,TMPRSS2,ASAP-0016375,0.0633,=,1,
sinai,TMPRSS2,ASAP-0016101,5,>,1,
sinai,TMPRSS2,ASAP-0016097,1.28,=,1,
sinai,TMPRSS2,ASAP-0016097,5,>,1,
sinai,TMPRSS2,ASAP-0016087,0.615,=,1,
sinai,TMPRSS2,ASAP-0015916,0.718,=,1,
sinai,TMPRSS2,ASAP-0015916,2.27,=,1,
sinai,TMPRSS2,ASAP-0015913,0.671,=,1,
sinai,TMPRSS2,ASAP-0015910,0.61,=,1,
sinai,TMPRSS2,ASAP-0015910,0.854,=,1,
