Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
usu,E6,ASAP-0014925-001,0.023,=,,
usu,E6,ASAP-0014888-001,25,=,,
usu,E6,ASAP-0014786-001,0.053,=,,
usu,E6,ASAP-0014784-001,32,>,,
usu,E6,ASAP-0014776-001,0.48,=,,
usu,E6,ASAP-0014773-001,0.15,=,,
usu,E6,ASAP-0014770-001,0.16,=,,
usu,E6,ASAP-0014764-001,0.069,=,,
usu,E6,ASAP-0014753-001,0.071,=,,
usu,E6,ASAP-0014750-001,0.063,=,,
usu,E6,ASAP-0014717-001,5.7,=,,
usu,E6,ASAP-0014551-001,32,>,,
usu,E6,ASAP-0013890-001,0.18,=,,
usu,E6,ASAP-0013722-001,0.13,=,,
usu,E6,ASAP-0013299-001,2.7,=,,
usu,E6,ASAP-0012335-001,4.6,=,,
usu,E6,ASAP-0011513-001,0.15,=,,
usu,E6,ASAP-0011445-001,0.17,=,,
usu,E6,ASAP-0011430-001,17,=,,
usu,E6,ASAP-0011359-001,0.78,=,,
usu,E6,ASAP-0011153-001,32,>,,
usu,E6,ASAP-0011137-001,4.7,=,,
usu,E6,ASAP-0011129-001,0.46,=,,
usu,E6,ASAP-0011127-001,32,>,,
usu,E6,ASAP-0011124-001,32,>,,
usu,E6,ASAP-0011049-001,28,=,,
usu,E6,ASAP-0008359-001,2.8,=,,
usu,E6,ASAP-0000738-001,0.57,=,,
usu,E6,ASAP-0000733-001,0.61,=,,
usu,E6,ASAP-0000654-001,1.7,=,,
usu,E6,ASAP-0000541-001,4.8,=,,
usu,E6,ASAP-0000526-001,1.7,=,,
usu,E6,ASAP-0000272-001,0.89,=,,
usu,E6,ASAP-0000205-001,1.3,=,,
usu,E6,ASAP-0000157-001,0.93,=,,
usu,E6,ASAP-0000153-001,0.11,=,,
sinai,E6,ASAP-0008376-001,6.02,=,,
sinai,E6,ASAP-0008376-001,2.83,=,,
sinai,E6,ASAP-0008359-001,1.38,=,,
sinai,E6,ASAP-0008359-001,1.06,=,,
sinai,E6,ASAP-0008330-001,3.19,=,,
sinai,E6,ASAP-0008330-001,1.21,=,,
sinai,E6,ASAP-0008315-001,8.32,=,,
sinai,E6,ASAP-0008315-001,8.08,=,,
sinai,E6,ASAP-0008314-001,1.12,=,,
sinai,E6,ASAP-0008314-001,1.06,=,,
sinai,E6,ASAP-0000738-001,2.06,=,,
sinai,E6,ASAP-0000738-001,2.11,=,,
sinai,E6,ASAP-0000738-001,1.23,=,,
sinai,E6,ASAP-0000734-001,8.6,=,,
sinai,E6,ASAP-0000734-001,10,>,,
sinai,E6,ASAP-0000733-001,0.589,=,,
sinai,E6,ASAP-0000733-001,0.307,=,,
sinai,E6,ASAP-0000733-001,0.206,<,,
sinai,E6,ASAP-0000654-001,0.544,=,,
sinai,E6,ASAP-0000654-001,0.507,=,,
sinai,E6,ASAP-0000580-001,3.16,=,,
sinai,E6,ASAP-0000580-001,3.12,=,,
sinai,E6,ASAP-0000577-001,3.06,=,,
sinai,E6,ASAP-0000577-001,1,=,,
sinai,E6,ASAP-0000541-001,5.69,=,,
