Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
mavda,TMPRSS2,ASAP-0015679,0.641,=,1,72
mavda,TMPRSS2,ASAP-0015679,0.918,=,1,72
mavda,TMPRSS2,ASAP-0015677,0.169,=,1,72
mavda,TMPRSS2,ASAP-0015677,0.184,=,1,72
mavda,TMPRSS2,ASAP-0015672,0.172,=,1,72
mavda,TMPRSS2,ASAP-0015672,0.149,=,1,72
mavda,TMPRSS2,ASAP-0015666,0.703,=,1,72
mavda,TMPRSS2,ASAP-0015666,0.719,=,1,72
mavda,TMPRSS2,ASAP-0015663,0.608,=,1,72
mavda,TMPRSS2,ASAP-0015663,0.526,=,1,72
mavda,TMPRSS2,ASAP-0015660,0.116,=,1,72
mavda,TMPRSS2,ASAP-0015660,0.271,=,1,72
mavda,TMPRSS2,ASAP-0015657,0.595,=,1,72
mavda,TMPRSS2,ASAP-0015657,0.532,=,1,72
mavda,TMPRSS2,ASAP-0015656,0.22,=,1,72
mavda,TMPRSS2,ASAP-0015656,0.279,=,1,72
mavda,TMPRSS2,ASAP-0015652,36,>,1,72
mavda,TMPRSS2,ASAP-0015652,36,>,1,72
mavda,TMPRSS2,ASAP-0015648,0.674,=,1,72
mavda,TMPRSS2,ASAP-0015648,0.623,=,1,72
mavda,TMPRSS2,ASAP-0015638,0.739,=,1,72
mavda,TMPRSS2,ASAP-0015638,0.625,=,1,72
mavda,TMPRSS2,ASAP-0015637,0.053,=,1,72
mavda,TMPRSS2,ASAP-0015637,0.054,=,1,72
mavda,TMPRSS2,ASAP-0015637,0.111,=,1,72
mavda,TMPRSS2,ASAP-0015637,0.078,=,1,72
mavda,TMPRSS2,ASAP-0015517,0.844,=,1,72
mavda,TMPRSS2,ASAP-0015517,0.821,=,1,72
mavda,TMPRSS2,ASAP-0015514,0.602,=,1,72
mavda,TMPRSS2,ASAP-0015514,0.606,=,1,72
mavda,TMPRSS2,ASAP-0015512,0.402,=,1,72
mavda,TMPRSS2,ASAP-0015512,0.335,=,1,72
mavda,TMPRSS2,ASAP-0015508,0.395,=,1,72
mavda,TMPRSS2,ASAP-0015508,0.444,=,1,72
mavda,TMPRSS2,ASAP-0015376,0.306,=,1,72
mavda,TMPRSS2,ASAP-0015376,0.33,=,1,72
mavda,TMPRSS2,ASAP-0015294,0.439,=,1,72
mavda,TMPRSS2,ASAP-0015294,0.46,=,1,72
mavda,TMPRSS2,ASAP-0015242,0.702,=,1,72
mavda,TMPRSS2,ASAP-0015242,0.835,=,1,72
mavda,TMPRSS2,ASAP-0015239,1.7,=,1,72
mavda,TMPRSS2,ASAP-0015239,1.38,=,1,72
mavda,TMPRSS2,ASAP-0015229,0.372,=,1,72
mavda,TMPRSS2,ASAP-0015229,0.504,=,1,72
mavda,TMPRSS2,ASAP-0015227,0.305,=,1,72
mavda,TMPRSS2,ASAP-0015227,0.333,=,1,72
mavda,TMPRSS2,ASAP-0015225,1.01,=,1,72
mavda,TMPRSS2,ASAP-0015225,0.682,=,1,72
mavda,TMPRSS2,ASAP-0015223,0.736,=,1,72
mavda,TMPRSS2,ASAP-0015223,0.826,=,1,72
mavda,TMPRSS2,ASAP-0015108,1.61,=,1,72
mavda,TMPRSS2,ASAP-0015108,0.881,=,1,72
mavda,TMPRSS2,ASAP-0015099,0.239,=,1,72
mavda,TMPRSS2,ASAP-0015099,0.208,=,1,72
mavda,TMPRSS2,ASAP-0015096,0.294,=,1,72
mavda,TMPRSS2,ASAP-0015096,0.218,=,1,72
mavda,TMPRSS2,ASAP-0015092,0.259,=,1,72
mavda,TMPRSS2,ASAP-0015092,0.235,=,1,72
mavda,TMPRSS2,ASAP-0015085,0.468,=,1,72
mavda,TMPRSS2,ASAP-0015085,0.582,=,1,72
mavda,TMPRSS2,ASAP-0014973,15.6,=,1,72
mavda,TMPRSS2,ASAP-0014973,17.7,=,1,72
mavda,TMPRSS2,ASAP-0014970,0.196,=,1,72
mavda,TMPRSS2,ASAP-0014970,0.246,=,1,72
mavda,TMPRSS2,ASAP-0014966,1.46,=,1,72
mavda,TMPRSS2,ASAP-0014966,1.78,=,1,72
mavda,TMPRSS2,ASAP-0014963,7.25,=,1,72
mavda,TMPRSS2,ASAP-0014963,7.33,=,1,72
mavda,TMPRSS2,ASAP-0014948,2.28,=,1,72
mavda,TMPRSS2,ASAP-0014948,2.16,=,1,72
mavda,TMPRSS2,ASAP-0014936,2.11,=,1,72
mavda,TMPRSS2,ASAP-0014936,2.01,=,1,72
mavda,TMPRSS2,ASAP-0014925,0.161,=,1,72
mavda,TMPRSS2,ASAP-0014925,0.136,=,1,72
mavda,TMPRSS2,ASAP-0014900,0.357,=,1,72
mavda,TMPRSS2,ASAP-0014900,0.302,=,1,72
mavda,TMPRSS2,ASAP-0014889,36,>,1,72
mavda,TMPRSS2,ASAP-0014889,36,>,1,72
mavda,TMPRSS2,ASAP-0014888,18.8,=,1,72
mavda,TMPRSS2,ASAP-0014888,20.5,=,1,72
mavda,TMPRSS2,ASAP-0014882,2.59,=,1,72
mavda,TMPRSS2,ASAP-0014882,1.7,=,1,72
mavda,TMPRSS2,ASAP-0014881,1.74,=,1,72
mavda,TMPRSS2,ASAP-0014881,0.956,=,1,72
mavda,TMPRSS2,ASAP-0014791,6.12,=,1,72
mavda,TMPRSS2,ASAP-0014791,6.06,=,1,72
mavda,TMPRSS2,ASAP-0014789,1.4,=,1,72
mavda,TMPRSS2,ASAP-0014789,1.4,=,1,72
mavda,TMPRSS2,ASAP-0014784,3.1,=,1,72
mavda,TMPRSS2,ASAP-0014784,3.39,=,1,72
mavda,TMPRSS2,ASAP-0014776,0.197,=,1,72
mavda,TMPRSS2,ASAP-0014776,0.21,=,1,72
mavda,TMPRSS2,ASAP-0014773,0.238,=,1,72
mavda,TMPRSS2,ASAP-0014773,0.224,=,1,72
mavda,TMPRSS2,ASAP-0014770,0.382,=,1,72
mavda,TMPRSS2,ASAP-0014770,0.246,=,1,72
mavda,TMPRSS2,ASAP-0014764,0.2,=,1,72
mavda,TMPRSS2,ASAP-0014764,0.496,=,1,72
mavda,TMPRSS2,ASAP-0014762,2.23,=,1,72
mavda,TMPRSS2,ASAP-0014762,2.06,=,1,72
mavda,TMPRSS2,ASAP-0014758,3.17,=,1,72
mavda,TMPRSS2,ASAP-0014758,3.26,=,1,72
mavda,TMPRSS2,ASAP-0014753,0.302,=,1,72
mavda,TMPRSS2,ASAP-0014753,0.289,=,1,72
mavda,TMPRSS2,ASAP-0014750,0.116,=,1,72
mavda,TMPRSS2,ASAP-0014750,0.133,=,1,72
mavda,TMPRSS2,ASAP-0014745,2.41,=,1,72
mavda,TMPRSS2,ASAP-0014745,2.5,=,1,72
mavda,TMPRSS2,ASAP-0014717,0.425,=,1,72
mavda,TMPRSS2,ASAP-0014717,0.408,=,1,72
mavda,TMPRSS2,ASAP-0014632,1.63,=,1,72
mavda,TMPRSS2,ASAP-0014632,2.24,=,1,72
mavda,TMPRSS2,ASAP-0014612,4.54,=,1,72
