Plate,Enzyme (nM),Substrate (nM),Inhibitor (nM),Inhibitor_ID,v (nM.min^{-1})
2023-03-24-3E_8S.xlsx,0,1350,0,,0
2023-03-24-3E_8S.xlsx,0,1350,0,,0
2023-03-24-3E_8S.xlsx,0,1150,0,,0
2023-03-24-3E_8S.xlsx,0,1150,0,,0
2023-03-24-3E_8S.xlsx,0,950,0,,0
2023-03-24-3E_8S.xlsx,0,950,0,,0
2023-03-24-3E_8S.xlsx,0,750,0,,0
2023-03-24-3E_8S.xlsx,0,750,0,,0
2023-03-24-3E_8S.xlsx,0,550,0,,0
2023-03-24-3E_8S.xlsx,0,550,0,,0
2023-03-24-3E_8S.xlsx,0,350,0,,0
2023-03-24-3E_8S.xlsx,0,350,0,,0
2023-03-24-3E_8S.xlsx,0,150,0,,0
2023-03-24-3E_8S.xlsx,0,150,0,,0
2023-03-24-3E_8S.xlsx,0,50,0,,0
2023-03-24-3E_8S.xlsx,0,50,0,,0
2023-03-24-3E_8S.xlsx,25,1350,0,,0.441959369
2023-03-24-3E_8S.xlsx,25,1350,0,,0.511060508
2023-03-24-3E_8S.xlsx,25,1150,0,,0.401140971
2023-03-24-3E_8S.xlsx,25,1150,0,,0.50550141
2023-03-24-3E_8S.xlsx,25,950,0,,0.356291674
2023-03-24-3E_8S.xlsx,25,950,0,,0.384773746
2023-03-24-3E_8S.xlsx,25,750,0,,0.333656622
2023-03-24-3E_8S.xlsx,25,750,0,,0.313369236
2023-03-24-3E_8S.xlsx,25,550,0,,0.252551375
2023-03-24-3E_8S.xlsx,25,550,0,,0.233282788
2023-03-24-3E_8S.xlsx,25,350,0,,0.130361957
2023-03-24-3E_8S.xlsx,25,350,0,,0.141524448
2023-03-24-3E_8S.xlsx,25,150,0,,0.094438223
2023-03-24-3E_8S.xlsx,25,150,0,,0.100595312
2023-03-24-3E_8S.xlsx,25,50,0,,0.023033713
2023-03-24-3E_8S.xlsx,25,50,0,,0.02538138
2023-03-24-3E_8S.xlsx,25,1350,0,,0.486520744
2023-03-24-3E_8S.xlsx,25,1350,0,,0.519831037
2023-03-24-3E_8S.xlsx,25,1150,0,,0.44003251
2023-03-24-3E_8S.xlsx,25,1150,0,,0.480740168
2023-03-24-3E_8S.xlsx,25,950,0,,0.365283682
2023-03-24-3E_8S.xlsx,25,950,0,,0.404662472
2023-03-24-3E_8S.xlsx,25,750,0,,0.315362538
2023-03-24-3E_8S.xlsx,25,750,0,,0.233991517
2023-03-24-3E_8S.xlsx,25,550,0,,0.254677563
2023-03-24-3E_8S.xlsx,25,550,0,,0.244046619
2023-03-24-3E_8S.xlsx,25,350,0,,0.137892209
2023-03-24-3E_8S.xlsx,25,350,0,,0.130982095
2023-03-24-3E_8S.xlsx,25,150,0,,0.097007368
2023-03-24-3E_8S.xlsx,25,150,0,,0.099044966
2023-03-24-3E_8S.xlsx,25,50,0,,0.022856531
2023-03-24-3E_8S.xlsx,25,50,0,,0.022192097
2023-03-24-3E_8S.xlsx,25,1350,0,,0.530860642
2023-03-24-3E_8S.xlsx,25,1350,0,,0.526563968
2023-03-24-3E_8S.xlsx,25,1150,0,,0.437551956
2023-03-24-3E_8S.xlsx,25,1150,0,,0.503995359
2023-03-24-3E_8S.xlsx,25,950,0,,0.368162896
2023-03-24-3E_8S.xlsx,25,950,0,,0.359480958
2023-03-24-3E_8S.xlsx,25,750,0,,0.531126415
2023-03-24-3E_8S.xlsx,25,750,0,,0.336535836
2023-03-24-3E_8S.xlsx,25,550,0,,0.281077742
2023-03-24-3E_8S.xlsx,25,550,0,,0.230049209
2023-03-24-3E_8S.xlsx,25,350,0,,0.140284171
2023-03-24-3E_8S.xlsx,25,350,0,,0.142631838
2023-03-24-3E_8S.xlsx,25,150,0,,0.091470418
2023-03-24-3E_8S.xlsx,25,150,0,,0.100595312
2023-03-24-3E_8S.xlsx,25,50,0,,0.023033713
2023-03-24-3E_8S.xlsx,25,50,0,,0.027286091
2023-03-24-3E_8S.xlsx,50,1350,0,,1.06568574
2023-03-24-3E_8S.xlsx,50,1350,0,,1.071621351
2023-03-24-3E_8S.xlsx,50,1150,0,,0.940174152
2023-03-24-3E_8S.xlsx,50,1150,0,,0.884716058
2023-03-24-3E_8S.xlsx,50,950,0,,0.767487747
2023-03-24-3E_8S.xlsx,50,950,0,,0.868791789
2023-03-24-3E_8S.xlsx,50,750,0,,0.665209202
2023-03-24-3E_8S.xlsx,50,750,0,,0.778783126
2023-03-24-3E_8S.xlsx,50,550,0,,0.604524228
2023-03-24-3E_8S.xlsx,50,550,0,,0.468182365
2023-03-24-3E_8S.xlsx,50,350,0,,0.294742935
2023-03-24-3E_8S.xlsx,50,350,0,,0.281409959
2023-03-24-3E_8S.xlsx,50,150,0,,0.190205315
2023-03-24-3E_8S.xlsx,50,150,0,,0.187060327
2023-03-24-3E_8S.xlsx,50,50,0,,0.04673186
2023-03-24-3E_8S.xlsx,50,50,0,,0.046598973
2023-03-24-3E_8S.xlsx,50,1350,0,,1.049695028
2023-03-24-3E_8S.xlsx,50,1350,0,,1.056295072
2023-03-24-3E_8S.xlsx,50,1150,0,,0.897030235
2023-03-24-3E_8S.xlsx,50,1150,0,,0.999220189
2023-03-24-3E_8S.xlsx,50,950,0,,0.764608533
2023-03-24-3E_8S.xlsx,50,950,0,,0.759071583
2023-03-24-3E_8S.xlsx,50,750,0,,0.671764952
2023-03-24-3E_8S.xlsx,50,750,0,,0.627513645
2023-03-24-3E_8S.xlsx,50,550,0,,0.467739409
2023-03-24-3E_8S.xlsx,50,550,0,,0.479699221
2023-03-24-3E_8S.xlsx,50,350,0,,0.298951018
2023-03-24-3E_8S.xlsx,50,350,0,,0.289870419
2023-03-24-3E_8S.xlsx,50,150,0,,0.192021435
2023-03-24-3E_8S.xlsx,50,150,0,,0.187281805
2023-03-24-3E_8S.xlsx,50,50,0,,0.045580174
2023-03-24-3E_8S.xlsx,50,50,0,,0.046643269
2023-03-24-3E_8S.xlsx,50,1350,0,,1.056206481
2023-03-24-3E_8S.xlsx,50,1350,0,,1.05611789
2023-03-24-3E_8S.xlsx,50,1150,0,,0.913685382
2023-03-24-3E_8S.xlsx,50,1150,0,,0.950317845
2023-03-24-3E_8S.xlsx,50,950,0,,0.8787583
2023-03-24-3E_8S.xlsx,50,950,0,,0.756502438
2023-03-24-3E_8S.xlsx,50,750,0,,0.65878634
2023-03-24-3E_8S.xlsx,50,750,0,,0.667202505
2023-03-24-3E_8S.xlsx,50,550,0,,0.481869706
2023-03-24-3E_8S.xlsx,50,550,0,,0.490728826
2023-03-24-3E_8S.xlsx,50,350,0,,0.294565753
2023-03-24-3E_8S.xlsx,50,350,0,,0.298773835
2023-03-24-3E_8S.xlsx,50,150,0,,0.192420095
2023-03-24-3E_8S.xlsx,50,150,0,,0.194413397
2023-03-24-3E_8S.xlsx,50,50,0,,0.049921143
2023-03-24-3E_8S.xlsx,50,50,0,,0.04744059
2023-03-24-3E_8S.xlsx,100,1350,0,,1.327029791
2023-03-24-3E_8S.xlsx,100,1350,0,,1.268338119
2023-03-24-3E_8S.xlsx,100,1150,0,,1.277042205
2023-03-24-3E_8S.xlsx,100,1150,0,,1.277883821
2023-03-24-3E_8S.xlsx,100,950,0,,0.992642292
2023-03-24-3E_8S.xlsx,100,950,0,,0.966286409
2023-03-24-3E_8S.xlsx,100,750,0,,0.850630592
2023-03-24-3E_8S.xlsx,100,750,0,,0.811030324
2023-03-24-3E_8S.xlsx,100,550,0,,0.61276321
2023-03-24-3E_8S.xlsx,100,550,0,,0.591191252
2023-03-24-3E_8S.xlsx,100,350,0,,0.383555617
2023-03-24-3E_8S.xlsx,100,350,0,,0.352017149
2023-03-24-3E_8S.xlsx,100,150,0,,0.243714402
2023-03-24-3E_8S.xlsx,100,150,0,,0.234678099
2023-03-24-3E_8S.xlsx,100,50,0,,0.061349409
2023-03-24-3E_8S.xlsx,100,50,0,,0.059267515
2023-03-24-3E_8S.xlsx,100,1350,0,,1.326719722
2023-03-24-3E_8S.xlsx,100,1350,0,,1.29048592
2023-03-24-3E_8S.xlsx,100,1150,0,,1.314383397
2023-03-24-3E_8S.xlsx,100,1150,0,,1.231240552
2023-03-24-3E_8S.xlsx,100,950,0,,1.090225503
2023-03-24-3E_8S.xlsx,100,950,0,,1.076981118
2023-03-24-3E_8S.xlsx,100,750,0,,0.937981519
2023-03-24-3E_8S.xlsx,100,750,0,,1.158883686
2023-03-24-3E_8S.xlsx,100,550,0,,0.787465064
2023-03-24-3E_8S.xlsx,100,550,0,,0.68819862
2023-03-24-3E_8S.xlsx,100,350,0,,0.381960976
2023-03-24-3E_8S.xlsx,100,350,0,,0.424972005
2023-03-24-3E_8S.xlsx,100,150,0,,0.253680912
2023-03-24-3E_8S.xlsx,100,150,0,,0.237955974
2023-03-24-3E_8S.xlsx,100,50,0,,0.059666176
2023-03-24-3E_8S.xlsx,100,50,0,,0.062323912
2023-03-24-3E_8S.xlsx,100,1350,0,,1.385101326
2023-03-24-3E_8S.xlsx,100,1350,0,,1.289732895
2023-03-24-3E_8S.xlsx,100,1150,0,,1.289622156
2023-03-24-3E_8S.xlsx,100,1150,0,,1.250642026
2023-03-24-3E_8S.xlsx,100,950,0,,1.001678595
2023-03-24-3E_8S.xlsx,100,950,0,,0.962609874
2023-03-24-3E_8S.xlsx,100,750,0,,0.846998353
2023-03-24-3E_8S.xlsx,100,750,0,,0.792869127
2023-03-24-3E_8S.xlsx,100,550,0,,0.61316187
2023-03-24-3E_8S.xlsx,100,550,0,,0.582199244
2023-03-24-3E_8S.xlsx,100,350,0,,0.417087388
2023-03-24-3E_8S.xlsx,100,350,0,,0.362426615
2023-03-24-3E_8S.xlsx,100,150,0,,0.265242065
2023-03-24-3E_8S.xlsx,100,150,0,,0.243980176
2023-03-24-3E_8S.xlsx,100,50,0,,0.068436705
2023-03-24-3E_8S.xlsx,100,50,0,,0.059488993
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,0,1350,0,,0
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.231160869
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.144882873
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.229492579
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.1916946
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.184249543
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.173393206
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.226753595
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.168313636
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.210693189
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.157432399
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.212834576
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.184448742
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.205190321
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.184100144
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.228745583
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0,,1.228645984
2023-05-18-E100_S1350_CRC.xlsx,100,1350,99.5,ASAP-0000153-001,0.108700316
2023-05-18-E100_S1350_CRC.xlsx,100,1350,49.75,ASAP-0000153-001,0.019235138
2023-05-18-E100_S1350_CRC.xlsx,100,1350,24.88,ASAP-0000153-001,0.094880897
2023-05-18-E100_S1350_CRC.xlsx,100,1350,12.44,ASAP-0000153-001,0.135716658
2023-05-18-E100_S1350_CRC.xlsx,100,1350,7.463,ASAP-0000153-001,0.21268211
2023-05-18-E100_S1350_CRC.xlsx,100,1350,2.488,ASAP-0000153-001,0.408170869
2023-05-18-E100_S1350_CRC.xlsx,100,1350,1.552,ASAP-0000153-001,0.599003356
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.776,ASAP-0000153-001,0.972675477
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.388,ASAP-0000153-001,1.662924351
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.194,ASAP-0000153-001,2.598860092
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.1,ASAP-0000153-001,3.037720033
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.05,ASAP-0000153-001,2.58904955
2023-05-18-E100_S1350_CRC.xlsx,100,1350,99.5,ASAP-0000153-001,0.023542813
2023-05-18-E100_S1350_CRC.xlsx,100,1350,49.75,ASAP-0000153-001,0.049513361
2023-05-18-E100_S1350_CRC.xlsx,100,1350,24.88,ASAP-0000153-001,0.100831962
2023-05-18-E100_S1350_CRC.xlsx,100,1350,12.44,ASAP-0000153-001,0.165795683
2023-05-18-E100_S1350_CRC.xlsx,100,1350,7.463,ASAP-0000153-001,0.205560751
2023-05-18-E100_S1350_CRC.xlsx,100,1350,2.488,ASAP-0000153-001,0.386358597
2023-05-18-E100_S1350_CRC.xlsx,100,1350,1.552,ASAP-0000153-001,0.583714846
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.776,ASAP-0000153-001,0.954299384
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.388,ASAP-0000153-001,1.665588636
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.194,ASAP-0000153-001,2.698584011
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.1,ASAP-0000153-001,3.07078704
2023-05-18-E100_S1350_CRC.xlsx,100,1350,0.05,ASAP-0000153-001,2.568009172
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,0,50,0,,0
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.054336631
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.052804263
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.05333726
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.057068245
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.059200237
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.055069503
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.058067616
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.060132983
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.063264345
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.055136128
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.056268749
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.058600614
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.055269378
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.055535877
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.058067616
2023-06-05-E100_S50_CRC_1.DAT,100,50,0,,0.051938141
2023-06-05-E100_S50_CRC_1.DAT,100,50,99.5,ASAP-0000153-001,0.040811811
2023-06-05-E100_S50_CRC_1.DAT,100,50,49.75,ASAP-0000153-001,0.002968965
2023-06-05-E100_S50_CRC_1.DAT,100,50,24.88,ASAP-0000153-001,0.00416821
2023-06-05-E100_S50_CRC_1.DAT,100,50,12.44,ASAP-0000153-001,0.007033073
2023-06-05-E100_S50_CRC_1.DAT,100,50,7.463,ASAP-0000153-001,0.010963932
2023-06-05-E100_S50_CRC_1.DAT,100,50,2.488,ASAP-0000153-001,0.020424644
2023-06-05-E100_S50_CRC_1.DAT,100,50,1.552,ASAP-0000153-001,0.030818102
2023-06-05-E100_S50_CRC_1.DAT,100,50,0.776,ASAP-0000153-001,0.054070133
2023-06-05-E100_S50_CRC_1.DAT,100,50,0.388,ASAP-0000153-001,0.096843209
