Plate,Enzyme (nM),Substrate (nM),Inhibitor (nM),Inhibitor_ID,v (nM.min^{-1}),Drop
16911-DR,50,550,99500,ASAP-0000141-001,0.478007452,1
16911-DR,50,550,99500,ASAP-0000141-001,0.495597423,1
16911-DR,50,550,49750,ASAP-0000141-001,0.354877658,1
16911-DR,50,550,49750,ASAP-0000141-001,0.366604305,1
16911-DR,50,550,24879.99916,ASAP-0000141-001,0.307971069,1
16911-DR,50,550,24879.99916,ASAP-0000141-001,0.307971069,1
16911-DR,50,550,12439.99958,ASAP-0000141-001,0.272791128,1
16911-DR,50,550,12439.99958,ASAP-0000141-001,0.266927804,1
16912_1,50,550,9989.999771,ASAP-0000141-001,0.382518288,1
16912_1,50,550,9989.999771,ASAP-0000141-001,0.398943116,1
16912_1,50,550,4994.999886,ASAP-0000141-001,0.360618516,1
16912_1,50,550,4994.999886,ASAP-0000141-001,0.377043345,1
16912_1,50,550,2497.999907,ASAP-0000141-001,0.369378425,
16912_1,50,550,2497.999907,ASAP-0000141-001,0.352953596,
16912_1,50,550,1248.999953,ASAP-0000141-001,0.359523528,
16912_1,50,550,1248.999953,ASAP-0000141-001,0.350763619,
16912_1,50,550,624.0000129,ASAP-0000141-001,0.370473413,
16912_1,50,550,624.0000129,ASAP-0000141-001,0.352953596,
16912_1,50,550,312.0000064,ASAP-0000141-001,0.347478653,
16912_1,50,550,312.0000064,ASAP-0000141-001,0.356238562,
16912_1,50,550,156.0000032,ASAP-0000141-001,0.358428539,
16912_1,50,550,156.0000032,ASAP-0000141-001,0.343098699,
16912_1,50,550,79.99999821,ASAP-0000141-001,0.346383665,
16912_1,50,550,79.99999821,ASAP-0000141-001,0.361713505,
16912_1,50,550,39.99999911,ASAP-0000141-001,0.358428539,
16912_1,50,550,39.99999911,ASAP-0000141-001,0.362808493,
16912_1,50,550,19.99999955,ASAP-0000141-001,0.351858608,
16912_1,50,550,19.99999955,ASAP-0000141-001,0.360618516,
16912_1,50,550,9.999999776,ASAP-0000141-001,0.358428539,
16912_1,50,550,9.999999776,ASAP-0000141-001,0.361713505,
16912_1,50,550,4.999999888,ASAP-0000141-001,0.348573642,
16912_1,50,550,4.999999888,ASAP-0000141-001,0.362808493,
16911-DR,50,550,99500,ASAP-0000142-001,0.349014334,
16911-DR,50,550,99500,ASAP-0000142-001,0.378330952,
16911-DR,50,550,49750,ASAP-0000142-001,0.571820629,
16911-DR,50,550,49750,ASAP-0000142-001,0.624590541,
16911-DR,50,550,24879.99916,ASAP-0000142-001,0.847396835,
16911-DR,50,550,24879.99916,ASAP-0000142-001,0.8884401,
16911-DR,50,550,12439.99958,ASAP-0000142-001,0.911893394,
16911-DR,50,550,12439.99958,ASAP-0000142-001,0.929483365,
16912_1,50,550,9989.999771,ASAP-0000142-001,1.306688639,1
16912_1,50,550,9989.999771,ASAP-0000142-001,1.317638525,1
16912_1,50,550,4994.999886,ASAP-0000142-001,1.021991611,1
16912_1,50,550,4994.999886,ASAP-0000142-001,1.011041726,1
16912_1,50,550,2497.999907,ASAP-0000142-001,0.752624424,
16912_1,50,550,2497.999907,ASAP-0000142-001,0.750434447,
16912_1,50,550,1248.999953,ASAP-0000142-001,0.566476367,
16912_1,50,550,1248.999953,ASAP-0000142-001,0.567571356,
16912_1,50,550,624.0000129,ASAP-0000142-001,0.462452453,
16912_1,50,550,624.0000129,ASAP-0000142-001,0.470117373,
16912_1,50,550,312.0000064,ASAP-0000142-001,0.398943116,
16912_1,50,550,312.0000064,ASAP-0000142-001,0.412082979,
16912_1,50,550,156.0000032,ASAP-0000142-001,0.383613276,
16912_1,50,550,156.0000032,ASAP-0000142-001,0.381423299,
16912_1,50,550,79.99999821,ASAP-0000142-001,0.363903482,
16912_1,50,550,79.99999821,ASAP-0000142-001,0.370473413,
16912_1,50,550,39.99999911,ASAP-0000142-001,0.371568402,
16912_1,50,550,39.99999911,ASAP-0000142-001,0.346383665,
16912_1,50,550,19.99999955,ASAP-0000142-001,0.344193688,
16912_1,50,550,19.99999955,ASAP-0000142-001,0.363903482,
16912_1,50,550,9.999999776,ASAP-0000142-001,0.362808493,
16912_1,50,550,9.999999776,ASAP-0000142-001,0.346383665,
16912_1,50,550,4.999999888,ASAP-0000142-001,0.349668631,
16912_1,50,550,4.999999888,ASAP-0000142-001,0.356238562,
16911-DR,50,550,99500,ASAP-0000143-001,0.800490247,1
16911-DR,50,550,99500,ASAP-0000143-001,0.806353571,1
16911-DR,50,550,49750,ASAP-0000143-001,0.577683952,1
16911-DR,50,550,49750,ASAP-0000143-001,0.583547276,1
16911-DR,50,550,24879.99916,ASAP-0000143-001,0.431100864,
16911-DR,50,550,24879.99916,ASAP-0000143-001,0.436964187,
16911-DR,50,550,12439.99958,ASAP-0000143-001,0.343151011,
16911-DR,50,550,12439.99958,ASAP-0000143-001,0.337287687,
16912_1,50,550,9989.999771,ASAP-0000143-001,0.463547442,1
16912_1,50,550,9989.999771,ASAP-0000143-001,0.474497327,1
16912_1,50,550,4994.999886,ASAP-0000143-001,0.39565815,1
16912_1,50,550,4994.999886,ASAP-0000143-001,0.412082979,1
16912_1,50,550,2497.999907,ASAP-0000143-001,0.387993231,
16912_1,50,550,2497.999907,ASAP-0000143-001,0.370473413,
16912_1,50,550,1248.999953,ASAP-0000143-001,0.373758379,
16912_1,50,550,1248.999953,ASAP-0000143-001,0.362808493,
16912_1,50,550,624.0000129,ASAP-0000143-001,0.363903482,
