Experiment,Molecule Name,Vero-76_MERS-CoV-antiviral-effect_usu: EC50 (Mod),Vero-76_MERS-CoV-antiviral-effect_usu: EC50 (Num) (uM)
usu,ASAP-0014925,=,0.023
usu,ASAP-0014888,=,25
usu,ASAP-0014786,=,0.053
usu,ASAP-0014776,=,0.48
usu,ASAP-0014773,=,0.15
usu,ASAP-0014770,=,0.16
usu,ASAP-0014764,=,0.069
usu,ASAP-0014753,=,0.071
usu,ASAP-0014750,=,0.063
usu,ASAP-0014717,=,5.7
usu,ASAP-0013890,=,0.18
usu,ASAP-0013722,=,0.13
usu,ASAP-0013299,=,2.7
usu,ASAP-0012335,=,4.6
usu,ASAP-0011513,=,0.15
usu,ASAP-0011445,=,0.17
usu,ASAP-0011430,=,17
usu,ASAP-0011359,=,0.78
usu,ASAP-0011137,=,4.7
usu,ASAP-0011129,=,0.46
usu,ASAP-0011049,=,28
usu,ASAP-0008359,=,2.8
usu,ASAP-0000738,=,0.57
usu,ASAP-0000733,=,0.61
usu,ASAP-0000654,=,1.7
usu,ASAP-0000541,=,4.8
usu,ASAP-0000526,=,1.7
usu,ASAP-0000272,=,0.89
usu,ASAP-0000205,=,1.3
usu,ASAP-0000157,=,0.93
usu,ASAP-0000153,=,0.11
mavda,ASAP-0015637,=,0.138
mavda,ASAP-0013731,=,2.32
mavda,ASAP-0013722,=,0.246
mavda,ASAP-0013721,=,5.1
mavda,ASAP-0013720,=,2.78
mavda,ASAP-0013719,=,3.92
mavda,ASAP-0013423,=,1.93
mavda,ASAP-0013414,=,0.362
mavda,ASAP-0013413,=,1.33
mavda,ASAP-0013412,=,3.06
mavda,ASAP-0013407,=,1.37
mavda,ASAP-0013405,=,2.01
mavda,ASAP-0013398,=,0.877
mavda,ASAP-0013397,=,1.22
mavda,ASAP-0013307,=,1.27
mavda,ASAP-0013305,=,3.06
mavda,ASAP-0013301,=,1.33
mavda,ASAP-0013300,=,2.97
mavda,ASAP-0013299,=,0.095
mavda,ASAP-0013298,=,0.706
mavda,ASAP-0013274,=,1.36
mavda,ASAP-0013273,=,0.653
mavda,ASAP-0013272,=,1.35
mavda,ASAP-0013266,=,5.81
mavda,ASAP-0013265,=,0.525
mavda,ASAP-0013263,=,2.38
mavda,ASAP-0013262,=,2.01
mavda,ASAP-0013249,=,2.42
mavda,ASAP-0012339,=,3.52
mavda,ASAP-0012337,=,0.949
mavda,ASAP-0012335,=,1.24
mavda,ASAP-0012333,=,1.29
mavda,ASAP-0012331,=,2.33
mavda,ASAP-0011513,=,1.2
mavda,ASAP-0011485,=,0.522
mavda,ASAP-0011445,=,1.02
mavda,ASAP-0011430,=,3.97
mavda,ASAP-0011368,=,3.27
mavda,ASAP-0011359,=,1.2
mavda,ASAP-0011347,=,2.64
mavda,ASAP-0011343,=,1.29
mavda,ASAP-0011200,=,8.02
mavda,ASAP-0011143,=,2.58
mavda,ASAP-0011141,=,0.635
mavda,ASAP-0011140,=,2.98
mavda,ASAP-0011139,=,9.1
mavda,ASAP-0011138,=,0.901
mavda,ASAP-0011137,=,0.11
mavda,ASAP-0011133,=,5.96
mavda,ASAP-0011129,=,0.693
mavda,ASAP-0011124,=,3.17
mavda,ASAP-0011059,=,1.9
mavda,ASAP-0011049,=,2.15
mavda,ASAP-0011034,=,3.47
mavda,ASAP-0010743,=,1.66
mavda,ASAP-0010738,=,22.9
mavda,ASAP-0010712,=,6.3
mavda,ASAP-0010711,=,4.58
mavda,ASAP-0008675,=,6.72
mavda,ASAP-0008672,=,3.56
mavda,ASAP-0008669,=,4.22
mavda,ASAP-0008665,=,3.02
mavda,ASAP-0008653,=,9.14
mavda,ASAP-0008642,=,10.8
mavda,ASAP-0008639,=,5.43
mavda,ASAP-0008502,=,2.85
mavda,ASAP-0008489,=,7.32
mavda,ASAP-0008479,=,10.5
mavda,ASAP-0008452,=,24.1
mavda,ASAP-0008451,=,12.5
mavda,ASAP-0008420,=,4.32
mavda,ASAP-0008411,=,9.38
mavda,ASAP-0008330,=,6.71
mavda,ASAP-0008315,=,36
mavda,ASAP-0008314,=,3.41
mavda,ASAP-0008258,=,6.12
mavda,ASAP-0000774,=,1.92
mavda,ASAP-0000738,=,1.71
mavda,ASAP-0000734,=,7.19
mavda,ASAP-0000733,=,0.623
mavda,ASAP-0000580,=,5.58
mavda,ASAP-0000541,=,2.83
mavda,ASAP-0000528,=,36
mavda,ASAP-0000526,=,3.39
mavda,ASAP-0000523,=,12
mavda,ASAP-0000375,=,2
mavda,ASAP-0000374,=,1.77
mavda,ASAP-0000373,=,1.82
mavda,ASAP-0000372,=,2.34
mavda,ASAP-0000370,=,0.096
mavda,ASAP-0000272,=,1.26
mavda,ASAP-0000227,=,12
mavda,ASAP-0000223,=,17.3
mavda,ASAP-0000222,=,25.6
mavda,ASAP-0000221,=,12.9
mavda,ASAP-0000220,=,4.77
mavda,ASAP-0000219,=,19.1
mavda,ASAP-0000217,=,11.8
mavda,ASAP-0000216,=,8.5
mavda,ASAP-0000215,=,8.73
mavda,ASAP-0000211,=,7.93
mavda,ASAP-0000208,=,8.16
mavda,ASAP-0000207,=,7.38
mavda,ASAP-0000205,=,7.6
mavda,ASAP-0000171,=,11.9
mavda,ASAP-0000169,=,17.8
mavda,ASAP-0000168,=,7.66
mavda,ASAP-0000167,=,4.96
mavda,ASAP-0000164,=,15.2
mavda,ASAP-0000163,=,9.91
mavda,ASAP-0000161,=,6.07
mavda,ASAP-0000160,=,8.48
mavda,ASAP-0000159,=,11.3
mavda,ASAP-0000158,=,6.85
mavda,ASAP-0000157,=,8.86
mavda,ASAP-0000156,=,13.7
mavda,ASAP-0000153,=,1.51
mavda,ASAP-0000144,=,4.73
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,6.02
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008376,,2.83
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.38
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008359,,1.06
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,3.19
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008330,,1.21
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.32
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008315,,8.08
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.12
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0008314,,1.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.06
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,2.11
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000738,,1.23
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000734,,8.6
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
sinai,ASAP-0000733,,0.589
