,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dE:100,55.798,16.019,29.558,85.768,0.551,0.39,825.0,1324.0,1.01
dE:25,33.199,9.671,16.875,50.885,0.342,0.242,779.0,1251.0,1.01
dE:50,48.604,14.008,24.925,74.049,0.486,0.344,812.0,1329.0,1.01
kcat_DS,1.798,1.521,0.132,4.512,0.139,0.098,84.0,1157.0,1.05
kcat_DSS,2.33,1.493,0.001,4.682,0.028,0.02,2505.0,1302.0,1.0
logK_S_D,-16.884,1.29,-19.086,-14.653,0.104,0.074,247.0,993.0,1.04
logK_S_DS,-6.031,3.872,-12.838,-0.009,0.158,0.124,645.0,525.0,1.01
logK_S_M,-8.84,4.001,-12.061,-0.058,1.097,0.794,18.0,20.0,1.16
logKd,-9.899,0.506,-10.821,-8.891,0.009,0.007,2884.0,2406.0,1.0
log_sigma_CRC:ES,-24.134,0.161,-24.427,-23.823,0.004,0.002,2109.0,2372.0,1.0
