,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha:E100_S1350,0.758,0.092,0.591,0.904,0.038,0.029,6.0,16.0,1.91
alpha:E100_S50,1.22,0.312,0.813,1.61,0.146,0.111,6.0,16.0,2.21
alpha:E100_S750,0.796,0.101,0.57,0.935,0.036,0.026,9.0,22.0,1.4
alpha:E50_S150,0.891,0.365,0.326,1.369,0.172,0.13,5.0,13.0,2.65
dE:100,76.265,23.943,35.643,113.441,10.081,7.57,6.0,28.0,1.79
dE:25,45.024,13.817,21.302,67.194,5.773,4.327,6.0,30.0,1.78
dE:50,66.165,20.575,31.382,98.056,8.612,6.441,6.0,42.0,1.77
kcat_DS,1.198,1.531,0.15,4.551,0.577,0.426,6.0,15.0,2.01
kcat_DSI:1,9.839,3.777,3.102,18.789,0.467,0.445,67.0,80.0,1.71
kcat_DSS,3.199,1.384,0.021,4.611,0.491,0.361,11.0,15.0,1.89
logK_I_D:1,-13.414,1.435,-15.927,-11.69,0.486,0.356,7.0,18.0,1.56
logK_I_DI:1,-19.634,1.263,-20.683,-17.237,0.412,0.307,10.0,55.0,1.66
logK_I_M:1,-4.075,2.911,-10.428,-1.403,0.929,0.677,12.0,85.0,1.44
logK_S_D,-17.007,1.042,-18.368,-14.958,0.364,0.267,10.0,20.0,1.37
logK_S_DI:1,-16.069,1.093,-17.962,-13.782,0.164,0.117,93.0,102.0,1.62
logK_S_DS,-3.577,3.334,-9.934,-0.478,1.102,0.805,9.0,74.0,1.86
logK_S_M,-6.134,3.417,-11.93,-2.202,1.119,0.886,16.0,122.0,2.06
logKd,-9.831,0.362,-10.547,-9.307,0.053,0.039,36.0,155.0,1.23
log_sigma_CRC:00214:0,-22.859,0.468,-23.514,-21.998,0.179,0.132,7.0,19.0,1.65
log_sigma_CRC:00214:1,-24.333,1.223,-25.744,-22.49,0.576,0.437,5.0,21.0,2.27
log_sigma_CRC:00214:2,-21.342,3.089,-23.473,-16.098,1.069,0.784,8.0,12.0,2.21
log_sigma_CRC:00214:3,-22.988,1.512,-24.343,-20.368,0.713,0.541,6.0,18.0,1.95
log_sigma_CRC:ES:0,-24.067,0.186,-24.407,-23.739,0.017,0.012,129.0,224.0,1.04
