MAP index:178

Kinetics parameters:
alpha:E100_S1350 : 0.851
alpha:E100_S50 : 1.255
alpha:E100_S750 : 0.991
alpha:E50_S150 : 1.245
dE:100 : 62.568
dE:25 : 33.677
dE:50 : 55.404
kcat_DS : 1.032
kcat_DSI:1 : 14.764
kcat_DSI:10 : 16.281
kcat_DSI:11 : 15.962
kcat_DSI:12 : 18.410
kcat_DSI:13 : 11.118
kcat_DSI:2 : 14.371
kcat_DSI:3 : 18.754
kcat_DSI:4 : 1.091
kcat_DSI:5 : 18.539
kcat_DSI:6 : 1.268
kcat_DSI:7 : 1.486
kcat_DSI:8 : 16.786
kcat_DSI:9 : 15.413
kcat_DSS : 0.133
logK_I_D:1 : -13.308
logK_I_D:10 : -10.455
logK_I_D:11 : -17.209
logK_I_D:12 : -9.003
logK_I_D:13 : -15.047
logK_I_D:2 : -11.451
logK_I_D:3 : -12.421
logK_I_D:4 : -21.536
logK_I_D:5 : -12.534
logK_I_D:6 : -13.830
logK_I_D:7 : -19.879
logK_I_D:8 : -6.887
logK_I_D:9 : -9.859
logK_I_DI:1 : -23.385
logK_I_DI:10 : -24.976
logK_I_DI:11 : -18.114
logK_I_DI:12 : -24.067
logK_I_DI:13 : -22.239
logK_I_DI:2 : -22.225
logK_I_DI:3 : -23.059
logK_I_DI:4 : -17.671
logK_I_DI:5 : -21.182
logK_I_DI:6 : -25.770
logK_I_DI:7 : -19.814
logK_I_DI:8 : -26.097
logK_I_DI:9 : -25.665
logK_I_M:1 : -16.392
logK_I_M:10 : -0.023
logK_I_M:11 : -9.466
logK_I_M:12 : -6.974
logK_I_M:13 : -8.336
logK_I_M:2 : -3.554
logK_I_M:3 : -11.217
logK_I_M:4 : -0.524
logK_I_M:5 : -2.372
logK_I_M:6 : -13.626
logK_I_M:7 : -1.542
logK_I_M:8 : -1.202
logK_I_M:9 : -6.064
logK_S_D : -15.985
logK_S_DI:1 : -19.331
logK_S_DI:10 : -19.787
logK_S_DI:11 : -13.071
logK_S_DI:12 : -19.929
logK_S_DI:13 : -16.468
logK_S_DI:2 : -18.053
logK_S_DI:3 : -17.714
logK_S_DI:4 : -13.548
logK_S_DI:5 : -16.776
logK_S_DI:6 : -21.143
logK_S_DI:7 : -14.963
logK_S_DI:8 : -22.144
logK_S_DI:9 : -20.482
logK_S_DS : -16.418
logK_S_M : -7.946
logKd : -9.743
log_sigma:00153:0 : -22.946
log_sigma:00153:1 : -25.811
log_sigma:00153:2 : -23.252
log_sigma:00153:3 : -24.005
log_sigma:00214:0 : -23.523
log_sigma:00214:1 : -25.305
log_sigma:00214:2 : -22.218
log_sigma:00214:3 : -23.197
log_sigma:00223:0 : -22.807
log_sigma:00223:1 : -25.337
log_sigma:00223:2 : -23.697
log_sigma:00223:3 : -24.744
log_sigma:00272:0 : -25.226
log_sigma:00272:1 : -26.546
log_sigma:00272:2 : -22.776
log_sigma:00272:3 : -24.386
log_sigma:00577:0 : -23.092
log_sigma:00577:1 : -25.602
log_sigma:00577:2 : -23.460
log_sigma:00577:3 : -24.681
log_sigma:00654:0 : -22.737
log_sigma:00654:1 : -25.284
log_sigma:00654:2 : -24.059
log_sigma:00654:3 : -25.228
log_sigma:00733:0 : -24.652
log_sigma:00733:1 : -26.279
log_sigma:00733:2 : -22.702
log_sigma:00733:3 : -24.395
log_sigma:00773:0 : -23.867
log_sigma:00773:1 : -25.080
log_sigma:00773:2 : -23.614
log_sigma:00773:3 : -24.712
log_sigma:08374:0 : -23.323
log_sigma:08374:1 : -25.897
log_sigma:08374:2 : -23.353
log_sigma:08374:3 : -24.529
log_sigma:08401:0 : -23.188
log_sigma:08401:1 : -25.399
log_sigma:08401:2 : -23.114
log_sigma:08401:3 : -24.690
log_sigma:08420:0 : -23.304
log_sigma:08420:1 : -25.712
log_sigma:08420:2 : -23.348
log_sigma:08420:3 : -24.438
log_sigma:08452:0 : -23.506
log_sigma:08452:1 : -25.234
log_sigma:08452:2 : -22.754
log_sigma:08452:3 : -24.835
log_sigma:08502:0 : -23.331
log_sigma:08502:1 : -26.053
log_sigma:08502:2 : -23.163
log_sigma:08502:3 : -24.444
log_sigma:ES:0 : -23.051
