Molecule Name,IC50 (Num),IC50 (Mod),Hill (Num),Minh_pIC50 (Num)
ASAP-0017740,0.489,=,1.795,6.69
ASAP-0017727,0.496,=,1.592,6.69
ASAP-0017714,0.103,=,0.917,7.16
ASAP-0017685,34.138,=,1.235,5.48
ASAP-0017681,0.103,=,1.851,7.28
ASAP-0017664,0.982,=,1.825,6.5
ASAP-0017661,0.128,=,1.909,7.33
ASAP-0017656,0.048,=,1.056,7.57
ASAP-0017653,0.079,=,1.254,7.36
ASAP-0017647,0.04,=,1.157,7.6
ASAP-0017451,8.762,=,4.254,5.58
ASAP-0017450,0.641,=,2.019,6.75
ASAP-0017449,0.056,=,1.314,7.39
ASAP-0017448,0.111,=,1.496,7.14
ASAP-0017447,1.578,=,2.415,6.39
ASAP-0017446,0.043,=,1.059,7.48
ASAP-0017445,0.047,=,1.245,7.43
ASAP-0017433,99.5,>,,4.8
ASAP-0017428,7.468,=,1.203,5.41
ASAP-0017420,99.5,>,1.057,4.18
ASAP-0017393,35.564,=,1.224,4.59
ASAP-0017386,9.919,=,5.429,5.57
ASAP-0017370,0.177,=,1.697,7.27
ASAP-0017339,2.2,=,2.946,6.35
ASAP-0017328,0.971,=,2.162,6.69
ASAP-0017239,0.155,=,1.364,7.44
ASAP-0017238,0.069,=,1.758,7.49
ASAP-0017148,11.796,=,2.164,5.01
ASAP-0017058,0.887,=,2.17,6.81
ASAP-0017057,1.026,=,2.273,6.78
ASAP-0017056,0.433,=,2.294,6.97
ASAP-0016983,7.886,=,1.486,5.51
ASAP-0016974,0.144,=,0.903,7.18
ASAP-0016973,99.5,>,,4.37
ASAP-0016902,5.241,=,1.98,5.89
ASAP-0016846,0.191,=,2.086,7.26
ASAP-0016845,0.115,=,1.965,7.26
ASAP-0016838,,,,4.75
ASAP-0016823,0.322,=,2.058,7.18
ASAP-0016819,0.41,=,2.299,6.92
ASAP-0016748,99.5,>,,8.56
ASAP-0016593,0.435,=,2.567,6.83
ASAP-0016592,6.191,=,2.616,5.97
ASAP-0016591,1.32,=,2.713,6.49
ASAP-0016548,99.5,>,,4.25
ASAP-0016547,7.881,=,3.275,5.69
ASAP-0016546,10.258,=,5.043,5.63
ASAP-0016545,0.916,=,2.474,6.59
ASAP-0016544,8.244,=,3.919,5.75
ASAP-0016543,99.5,>,0.5,5.18
ASAP-0016542,2.424,=,34.61,6.03
ASAP-0016541,2.474,=,21.812,5.86
ASAP-0016540,1.155,=,2.881,6.37
ASAP-0016539,0.127,=,1.962,7.29
ASAP-0016511,2.533,=,20.704,6.16
ASAP-0016510,0.317,=,2.336,7.21
ASAP-0016509,0.121,=,2.306,7.3
ASAP-0016508,9.639,=,6.179,5.69
ASAP-0016507,0.121,=,2.342,7.29
ASAP-0016506,0.064,=,2.135,7.57
ASAP-0016505,0.184,=,2.278,7.35
ASAP-0016504,1.375,=,2.552,6.57
ASAP-0016503,0.747,=,2.162,6.83
ASAP-0016440,91.232,=,1.498,4.45
ASAP-0016439,99.5,>,,1.43
ASAP-0016438,68.716,=,0.651,4.6
ASAP-0016433,,,,5.64
ASAP-0016432,99.5,>,,4.22
ASAP-0016377,0.393,=,2.784,6.95
ASAP-0016376,0.431,=,3.282,7.02
ASAP-0016375,0.118,=,2.492,7.22
ASAP-0016110,1.252,=,2.698,6.4
ASAP-0016106,1.086,=,2.481,6.58
ASAP-0016104,99.5,>,,3.56
ASAP-0016101,1.207,=,2.395,6.48
ASAP-0016097,0.113,=,2.026,7.23
ASAP-0016094,0.815,=,1.847,6.16
ASAP-0015916,1.134,=,2.3,6.63
ASAP-0015913,1.341,=,2.321,6.44
ASAP-0015910,0.867,=,2.339,6.73
ASAP-0015906,0.502,=,2.594,6.77
ASAP-0015904,0.411,=,2.209,7.04
ASAP-0015900,4.099,=,2.121,6.33
ASAP-0015896,0.63,=,2.47,6.81
ASAP-0015780,99.5,>,,4.01
ASAP-0015777,28.316,=,14.339,4.75
ASAP-0015773,5.264,=,2.321,6.05
ASAP-0015679,2.187,=,3.177,6.41
ASAP-0015677,1.054,=,2.575,6.72
ASAP-0015672,1.069,=,2.579,6.71
ASAP-0015669,1.163,=,2.598,6.65
ASAP-0015666,1.646,=,2.847,6.47
ASAP-0015663,1.279,=,2.772,6.57
ASAP-0015660,1.101,=,2.575,6.67
ASAP-0015657,1.017,=,2.584,6.74
ASAP-0015656,0.595,=,2.639,6.92
ASAP-0015652,1.172,=,2.601,6.67
ASAP-0015652,1.338,=,2.528,6.67
ASAP-0015648,5.586,=,2.48,5.94
ASAP-0015646,0.056,=,2.359,7.57
ASAP-0015642,1.103,=,2.811,6.61
ASAP-0015638,2.588,=,14.156,5.98
ASAP-0015522,99.5,>,,3.99
ASAP-0015521,0.396,=,3.139,7.04
ASAP-0015517,0.392,=,2.92,6.98
ASAP-0015514,2.138,=,2.992,6.45
ASAP-0015512,6.963,=,2.868,5.92
ASAP-0015508,1.718,=,2.999,6.51
ASAP-0015389,5.357,=,2.546,6.03
ASAP-0015385,1.975,=,2.885,6.5
ASAP-0015380,9.897,=,6.391,5.77
ASAP-0015376,1.561,=,2.998,6.45
ASAP-0015306,0.175,=,2.005,7.23
ASAP-0015301,0.318,=,2.2,6.98
ASAP-0015297,5.22,=,2.366,5.9
ASAP-0015294,1.55,=,2.64,6.36
ASAP-0015290,13.646,=,2.831,5.53
ASAP-0015242,2.219,=,3.243,6.25
ASAP-0015239,0.166,=,1.961,7.25
ASAP-0015235,2.459,=,3.175,6.36
ASAP-0015232,1.547,=,2.521,6.31
ASAP-0015229,1.985,=,2.9,6.37
ASAP-0015227,0.748,=,2.373,6.83
ASAP-0015225,2.555,=,12.444,5.98
ASAP-0015223,3.778,=,2.364,6
ASAP-0015219,2.58,=,13.409,6
ASAP-0015114,1.128,=,2.477,6.43
ASAP-0015110,0.475,=,2.398,6.71
ASAP-0015108,0.215,=,1.733,7.14
ASAP-0015105,1.342,=,2.407,6.35
ASAP-0015102,0.3,=,1.559,7.19
ASAP-0015099,0.721,=,2.23,6.72
ASAP-0015096,0.663,=,1.838,6.88
ASAP-0015092,1.144,=,2.456,6.5
ASAP-0015090,0.17,=,1.881,7.26
ASAP-0015085,1.125,=,2.5,6.42
ASAP-0015079,99.5,>,,4.38
ASAP-0015078,2.534,=,12.652,5.93
ASAP-0014973,1.915,=,2.886,6.16
ASAP-0014970,0.402,=,2.506,6.72
ASAP-0014966,0.877,=,2.211,6.58
ASAP-0014963,2.105,=,2.58,6.32
ASAP-0014959,1.265,=,2.428,6.46
ASAP-0014956,13.888,=,2.496,5.49
ASAP-0014955,2.618,=,3.036,6.02
ASAP-0014951,0.2,=,1.679,7.11
ASAP-0014948,3.44,=,2.579,5.98
ASAP-0014946,,,,4.24
ASAP-0014943,0.89,=,2.045,6.62
ASAP-0014938,2.573,=,3.521,5.99
ASAP-0014936,7.093,=,2.35,5.92
ASAP-0014931,1.011,=,2.428,6.41
ASAP-0014925,0.032,=,1.047,7.57
ASAP-0014900,1.235,=,2.205,6.37
ASAP-0014889,1.473,=,2.589,6.07
ASAP-0014888,0.434,=,2.218,6.71
ASAP-0014887,0.284,=,1.533,6.76
ASAP-0014886,0.292,=,1.699,6.83
ASAP-0014882,9.633,=,3.119,5.44
ASAP-0014881,2.516,=,18.159,5.94
ASAP-0014800,0.546,=,2.886,6.83
ASAP-0014797,0.109,=,2.262,7.19
ASAP-0014794,0.604,=,2.572,6.86
ASAP-0014791,8.01,=,3.679,5.9
ASAP-0014789,2.25,=,2.973,6.27
ASAP-0014786,0.054,=,2.381,7.5
ASAP-0014784,2.549,=,18.296,5.88
ASAP-0014780,34.749,=,4.526,5.07
ASAP-0014776,0.489,=,2.84,6.9
ASAP-0014773,0.463,=,3.608,6.9
ASAP-0014770,0.782,=,2.316,6.82
ASAP-0014769,25.214,=,2.724,5.21
ASAP-0014764,0.846,=,2.303,6.74
ASAP-0014762,9.371,=,6.994,5.62
ASAP-0014758,9.54,=,8.589,5.56
ASAP-0014753,0.976,=,2.62,6.59
ASAP-0014750,0.266,=,2.12,7.23
ASAP-0014745,7.902,=,3.208,5.9
ASAP-0014740,,,,4.41
ASAP-0014717,1.196,=,2.568,6.5
ASAP-0014654,,,,4.59
ASAP-0014649,92.61,=,9.174,4.42
ASAP-0014646,15.461,=,2.46,5.41
ASAP-0014638,10.273,=,4.26,5.62
ASAP-0014632,9.908,=,5.756,5.67
ASAP-0014619,,,,5.96
ASAP-0014618,,,,6.3
ASAP-0014613,1.216,=,2.438,6.85
ASAP-0014612,8.765,=,3.812,5.99
ASAP-0014608,5.403,=,2.164,6.3
ASAP-0014582,8.118,=,4.477,5.94
ASAP-0014572,,,,5.05
ASAP-0014554,,,,4.56
ASAP-0014553,21.939,=,2.693,5.44
ASAP-0014551,1.387,=,3.124,6.43
ASAP-0014544,0.474,=,3.147,6.91
ASAP-0014213,99.5,>,,14.1
ASAP-0014212,7.832,=,3.66,5.78
ASAP-0013925,1.456,=,2.757,6.43
ASAP-0013898,1.281,=,2.965,6.46
ASAP-0013894,1.385,=,2.805,6.46
ASAP-0013893,2.19,=,3.384,6.35
ASAP-0013892,1.882,=,3.012,6.44
ASAP-0013891,2.5,=,3.675,6.25
ASAP-0013890,0.868,=,2.471,6.83
ASAP-0013889,24.19,=,2.666,5.37
ASAP-0013836,,,,4.81
ASAP-0013834,,,,5.27
ASAP-0013832,17.396,=,2.384,5.55
ASAP-0013814,11.37,=,3.17,5.54
ASAP-0013743,,,,4.71
ASAP-0013743,49.75,>,,4.25
ASAP-0013739,2.51,=,23.453,5.94
ASAP-0013735,23.042,=,2.571,5.47
ASAP-0013731,2.365,=,3.78,6.23
ASAP-0013722,0.471,=,3.745,6.92
ASAP-0013721,10.367,=,5.207,5.46
ASAP-0013720,10.344,=,5.563,5.45
ASAP-0013719,10.818,=,7.124,5.52
ASAP-0013718,,,,4.59
ASAP-0013717,,,,4.62
ASAP-0013716,10.192,=,6.046,5.51
ASAP-0013715,9.534,=,7.928,5.77
ASAP-0013713,99.5,>,,4.84
ASAP-0013646,3.616,=,1.302,
ASAP-0013629,99.5,>,0.5,6.9
ASAP-0013612,17.244,=,1.052,4.83
ASAP-0013423,8.075,=,4.043,6.01
ASAP-0013423,5.503,=,2.122,6.01
ASAP-0013414,0.802,=,2.509,6.9
ASAP-0013414,0.471,=,2.484,6.9
ASAP-0013413,1.721,=,2.825,6.5
ASAP-0013413,1.181,=,2.498,6.5
ASAP-0013412,2.313,=,4.683,6.37
ASAP-0013412,1.511,=,2.543,6.37
ASAP-0013407,8.277,=,4.242,5.98
ASAP-0013407,5.186,=,2.357,5.98
ASAP-0013405,9.82,=,19.776,5.8
ASAP-0013405,7.108,=,3.166,5.8
ASAP-0013404,99.5,>,,4.07
ASAP-0013404,99.5,>,,4.07
ASAP-0013403,99.5,>,,3.84
ASAP-0013403,99.5,>,,3.84
ASAP-0013402,99.5,>,,4.31
ASAP-0013402,99.5,>,,4.31
