Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0015679,1.33,-11.6,1,48
Mavda,TMPRSS2,ASAP-0015679,1.28,-2.65,1,48
Mavda,TMPRSS2,ASAP-0015677,0.608,-2.28,1,48
Mavda,TMPRSS2,ASAP-0015677,0.387,-1.9,1,48
Mavda,TMPRSS2,ASAP-0015672,0.356,-1.15,1,48
Mavda,TMPRSS2,ASAP-0015672,0.43,-2.65,1,48
Mavda,TMPRSS2,ASAP-0015666,1.39,-9.76,1,48
Mavda,TMPRSS2,ASAP-0015666,1.45,-6.56,1,48
Mavda,TMPRSS2,ASAP-0015663,0.623,-3.27,1,48
Mavda,TMPRSS2,ASAP-0015663,0.378,-1.06,1,48
Mavda,TMPRSS2,ASAP-0015660,0.467,-4.78,1,48
Mavda,TMPRSS2,ASAP-0015660,0.507,-5.37,1,48
Mavda,TMPRSS2,ASAP-0015657,1.42,-9.28,1,48
Mavda,TMPRSS2,ASAP-0015657,1.35,-2.81,1,48
Mavda,TMPRSS2,ASAP-0015656,0.411,-14,1,48
Mavda,TMPRSS2,ASAP-0015656,0.351,-2.47,1,48
Mavda,TMPRSS2,ASAP-0015648,1.89,-9.56,1,48
Mavda,TMPRSS2,ASAP-0015648,1.49,-16,1,48
Mavda,TMPRSS2,ASAP-0015638,1.2,-13.6,1,48
Mavda,TMPRSS2,ASAP-0015638,0.937,-4.11,1,48
Mavda,TMPRSS2,ASAP-0015637,0.092,-1.81,1,48
Mavda,TMPRSS2,ASAP-0015637,0.134,-14.3,1,48
Mavda,TMPRSS2,ASAP-0015637,0.133,-1.88,1,48
Mavda,TMPRSS2,ASAP-0015637,0.124,-2.19,1,48
Mavda,TMPRSS2,ASAP-0015637,0.138,-1.92,1,48
Mavda,TMPRSS2,ASAP-0015517,0.829,-2.42,1,48
Mavda,TMPRSS2,ASAP-0015517,1.27,-14.1,1,48
Mavda,TMPRSS2,ASAP-0015514,0.839,-3.32,1,48
Mavda,TMPRSS2,ASAP-0015514,1.23,-14.7,1,48
Mavda,TMPRSS2,ASAP-0015512,0.841,-2.94,1,48
Mavda,TMPRSS2,ASAP-0015512,1.45,-3.34,1,48
Mavda,TMPRSS2,ASAP-0015508,0.545,-2.77,1,48
Mavda,TMPRSS2,ASAP-0015508,1.16,-13.8,1,48
Mavda,TMPRSS2,ASAP-0015376,0.503,-2.91,1,48
Mavda,TMPRSS2,ASAP-0015376,0.526,-2.53,1,48
Mavda,TMPRSS2,ASAP-0015294,0.761,-2.75,1,48
Mavda,TMPRSS2,ASAP-0015294,0.734,-3.9,1,48
Mavda,TMPRSS2,ASAP-0015242,0.644,-2.38,1,48
Mavda,TMPRSS2,ASAP-0015242,1.04,-3.24,1,48
Mavda,TMPRSS2,ASAP-0015239,1.98,-4.44,1,48
Mavda,TMPRSS2,ASAP-0015239,3.63,-12.9,1,48
Mavda,TMPRSS2,ASAP-0015229,0.475,-1.9,1,48
Mavda,TMPRSS2,ASAP-0015229,0.929,-5.16,1,48
Mavda,TMPRSS2,ASAP-0015227,0.428,-6.55,1,48
Mavda,TMPRSS2,ASAP-0015227,0.468,-11.9,1,48
Mavda,TMPRSS2,ASAP-0015225,1.36,-4.68,1,48
Mavda,TMPRSS2,ASAP-0015225,1.32,-3.36,1,48
Mavda,TMPRSS2,ASAP-0015223,0.786,-3.03,1,48
Mavda,TMPRSS2,ASAP-0015223,1.3,-14.1,1,48
Mavda,TMPRSS2,ASAP-0015108,3.5,-21.3,1,48
Mavda,TMPRSS2,ASAP-0015108,1.19,-4.04,1,48
Mavda,TMPRSS2,ASAP-0015099,0.593,-3.76,1,48
Mavda,TMPRSS2,ASAP-0015099,0.542,-3.26,1,48
Mavda,TMPRSS2,ASAP-0015096,0.821,-4.02,1,48
Mavda,TMPRSS2,ASAP-0015096,0.636,-3.85,1,48
Mavda,TMPRSS2,ASAP-0015092,0.601,-3.32,1,48
Mavda,TMPRSS2,ASAP-0015092,0.33,-2.33,1,48
Mavda,TMPRSS2,ASAP-0015085,0.764,-3.09,1,48
Mavda,TMPRSS2,ASAP-0015085,0.686,-2.44,1,48
Mavda,TMPRSS2,ASAP-0014973,1.41,-14.4,1,48
Mavda,TMPRSS2,ASAP-0014973,8.47,-1.91,1,48
