Molecule Name,IC50 (uM),Hill
ASAP-0017740,0.489,1.795
ASAP-0017727,0.496,1.592
ASAP-0017714,0.103,0.917
ASAP-0017685,34.138,1.235
ASAP-0017681,0.103,1.851
ASAP-0017664,0.982,1.825
ASAP-0017661,0.128,1.909
ASAP-0017656,0.048,1.056
ASAP-0017653,0.079,1.254
ASAP-0017647,0.04,1.157
ASAP-0017451,8.762,4.254
ASAP-0017450,0.641,2.019
ASAP-0017449,0.056,1.314
ASAP-0017448,0.111,1.496
ASAP-0017447,1.578,2.415
ASAP-0017446,0.043,1.059
ASAP-0017445,0.047,1.245
ASAP-0017428,7.468,1.203
ASAP-0017393,35.564,1.224
ASAP-0017386,9.919,5.429
ASAP-0017370,0.177,1.697
ASAP-0017339,2.2,2.946
ASAP-0017328,0.971,2.162
ASAP-0017239,0.155,1.364
ASAP-0017238,0.069,1.758
ASAP-0017148,11.796,2.164
ASAP-0017058,0.887,2.17
ASAP-0017057,1.026,2.273
ASAP-0017056,0.433,2.294
ASAP-0016983,7.886,1.486
ASAP-0016974,0.144,0.903
ASAP-0016902,5.241,1.98
ASAP-0016846,0.191,2.086
ASAP-0016845,0.115,1.965
ASAP-0016823,0.322,2.058
ASAP-0016819,0.41,2.299
ASAP-0016593,0.435,2.567
ASAP-0016592,6.191,2.616
ASAP-0016591,1.32,2.713
ASAP-0016547,7.881,3.275
ASAP-0016546,10.258,5.043
ASAP-0016545,0.916,2.474
ASAP-0016544,8.244,3.919
ASAP-0016542,2.424,34.61
ASAP-0016541,2.474,21.812
ASAP-0016540,1.155,2.881
ASAP-0016539,0.127,1.962
ASAP-0016511,2.533,20.704
ASAP-0016510,0.317,2.336
ASAP-0016509,0.121,2.306
ASAP-0016508,9.639,6.179
ASAP-0016507,0.121,2.342
ASAP-0016506,0.064,2.135
ASAP-0016505,0.184,2.278
ASAP-0016504,1.375,2.552
ASAP-0016503,0.747,2.162
ASAP-0016440,91.232,1.498
ASAP-0016438,68.716,0.651
ASAP-0016377,0.393,2.784
ASAP-0016376,0.431,3.282
ASAP-0016375,0.118,2.492
ASAP-0016110,1.252,2.698
ASAP-0016106,1.086,2.481
ASAP-0016101,1.207,2.395
ASAP-0016097,0.113,2.026
ASAP-0016094,0.815,1.847
ASAP-0015916,1.134,2.3
ASAP-0015913,1.341,2.321
ASAP-0015910,0.867,2.339
ASAP-0015906,0.502,2.594
ASAP-0015904,0.411,2.209
ASAP-0015900,4.099,2.121
ASAP-0015896,0.63,2.47
ASAP-0015777,28.316,14.339
ASAP-0015773,5.264,2.321
ASAP-0015679,2.187,3.177
ASAP-0015677,1.054,2.575
ASAP-0015672,1.069,2.579
ASAP-0015669,1.163,2.598
ASAP-0015666,1.646,2.847
ASAP-0015663,1.279,2.772
ASAP-0015660,1.101,2.575
ASAP-0015657,1.017,2.584
ASAP-0015656,0.595,2.639
ASAP-0015652,1.172,2.601
ASAP-0015652,1.338,2.528
ASAP-0015648,5.586,2.48
ASAP-0015646,0.056,2.359
