Plate,Enzyme (nM),Substrate (nM),Inhibitor (nM),Inhibitor_ID,v (nM.min^{-1}),Drop
3E_8S,100,1350,0,,1.314567962,
3E_8S,100,1150,0,,1.273469026,
3E_8S,100,950,0,,1.015070632,
3E_8S,100,750,0,,0.899732267,
3E_8S,100,550,0,,0.645829877,
3E_8S,100,350,0,,0.387003292,
3E_8S,100,150,0,,0.246541938,
3E_8S,100,50,0,,0.061755452,
3E_8S,50,1350,0,,1.05927026,
3E_8S,50,1150,0,,0.93085731,
3E_8S,50,950,0,,0.799203398,
3E_8S,50,750,0,,0.678209962,
3E_8S,50,550,0,,0.498790626,
3E_8S,50,350,0,,0.29305232,
3E_8S,50,150,0,,0.190567062,
3E_8S,50,50,0,,0.047152668,
3E_8S,25,1350,0,,0.502799378,
3E_8S,25,1150,0,,0.461493729,
3E_8S,25,950,0,,0.373109238,
3E_8S,25,750,0,,0.344007027,
3E_8S,25,550,0,,0.249280883,
3E_8S,25,350,0,,0.137279453,
3E_8S,25,150,0,,0.097191933,
3E_8S,25,50,0,,0.023963921,
E100_S1350,100,1350,99500,ASAP-0000153-001,0.066121565,1
E100_S1350,100,1350,49750,ASAP-0000153-001,0.03437425,
E100_S1350,100,1350,24880,ASAP-0000153-001,0.09785643,
E100_S1350,100,1350,12440,ASAP-0000153-001,0.150756171,
E100_S1350,100,1350,7463,ASAP-0000153-001,0.209121431,
E100_S1350,100,1350,2488,ASAP-0000153-001,0.397264733,
E100_S1350,100,1350,1552,ASAP-0000153-001,0.591359101,
E100_S1350,100,1350,776,ASAP-0000153-001,0.963487431,
E100_S1350,100,1350,388,ASAP-0000153-001,1.664256494,
E100_S1350,100,1350,194,ASAP-0000153-001,2.648722052,
E100_S1350,100,1350,100,ASAP-0000153-001,3.054253537,
E100_S1350,100,1350,50,ASAP-0000153-001,2.578529361,
E100_S750,100,750,99500,ASAP-0000153-001,0.13770922,1
E100_S750,100,750,49750,ASAP-0000153-001,0.061115138,
E100_S750,100,750,24880,ASAP-0000153-001,0.080241419,
