,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kcat_DS:0,0.723,0.187,0.397,0.999,0.006,0.004,1151.0,1058.0,1.01
kcat_DS:1,13.988,20.027,0.006,48.328,0.931,0.659,702.0,486.0,1.01
kcat_DSI:0,0.7,0.179,0.421,0.998,0.005,0.004,1177.0,1471.0,1.01
kcat_DSI:1,99.886,56.886,3.603,189.413,1.024,0.764,2836.0,2224.0,1.0
kcat_DSS:0,0.033,0.043,0.0,0.09,0.001,0.001,1549.0,1661.0,1.0
kcat_DSS:1,20.653,7.175,12.746,30.676,0.41,0.29,537.0,395.0,1.01
logK_I_D,-15.5,1.428,-18.14,-12.856,0.045,0.032,1034.0,1313.0,1.0
logK_I_DI,-17.015,1.208,-19.358,-14.857,0.035,0.025,1230.0,1446.0,1.0
logK_I_M,-4.889,2.804,-9.047,-0.001,0.069,0.049,1409.0,1335.0,1.0
logK_S_D,-10.916,1.489,-13.753,-8.146,0.063,0.044,549.0,439.0,1.01
logK_S_DI,-12.422,1.251,-14.98,-10.292,0.037,0.026,1187.0,1468.0,1.0
logK_S_DS,-9.788,0.57,-10.694,-8.702,0.023,0.016,940.0,605.0,1.01
logK_S_M,-6.109,1.586,-7.697,-2.188,0.065,0.046,899.0,696.0,1.01
logKd:0,-3.276,1.45,-5.945,-0.436,0.06,0.045,571.0,445.0,1.01
logKd:1,-14.694,1.643,-17.692,-11.552,0.046,0.032,1292.0,2309.0,1.0
log_sigma_AUC:mut,-15.593,0.305,-16.146,-15.003,0.006,0.004,2824.0,2234.0,1.0
log_sigma_ICE:mut,4.94,0.379,4.311,5.709,0.007,0.005,2838.0,2249.0,1.0
log_sigma_rate:mut,-17.369,0.136,-17.627,-17.117,0.002,0.002,3739.0,2583.0,1.0
log_sigma_rate:wt_1:0,-12.994,0.174,-13.317,-12.665,0.003,0.002,4406.0,2350.0,1.0
log_sigma_rate:wt_1:1,-16.972,0.421,-17.709,-16.188,0.013,0.009,1207.0,1258.0,1.0
