type,name,fit,dist,lower,upper,loc,scale
logKd,logKd,local,"['uniform', 'normal', 'normal']",[-20.73    nan    nan],[ 0. nan nan],[ nan -14. -14.],[nan  2.  2.]
logK,logK_S_M,global,uniform,-20.73,0.0,,
logK,logK_S_D,global,uniform,-20.73,0.0,,
logK,logK_S_DS,global,uniform,-20.73,0.0,,
logK,logK_I_M,local,uniform,[-20.73 -20.73 -20.73],[0. 0. 0.],,
logK,logK_I_D,local,"['normal', 'normal', 'uniform']",[   nan    nan -20.73],[nan nan  0.],[-15. -15.  nan],[ 2.  2. nan]
logK,logK_I_DI,local,"['normal', 'normal', 'uniform']",[   nan    nan -20.73],[nan nan  0.],[-15. -15.  nan],[ 2.  2. nan]
logK,logK_S_DI,local,uniform,[-20.73 -20.73 -20.73],[0. 0. 0.],,
kcat,kcat_DS,local,uniform,[0. 0. 0.],[  1. 200. 200.],,
kcat,kcat_DSS,local,uniform,[0. 0. 0.],[  1. 200. 200.],,
kcat,kcat_DSI,local,uniform,[0. 0. 0.],[  1. 200. 200.],,
