,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha:20650,0.916,0.627,0.012,1.882,0.292,0.223,5.0,12.0,2.51
kcat_DS:0,0.407,0.288,0.001,0.892,0.121,0.09,6.0,11.0,1.98
kcat_DS:1,66.224,69.632,0.006,166.209,30.154,22.611,7.0,21.0,2.0
kcat_DSI:0,0.516,0.328,0.05,0.941,0.15,0.114,6.0,13.0,1.95
kcat_DSI:1,111.111,57.875,28.748,179.332,23.684,17.784,7.0,62.0,1.58
kcat_DSI:2,83.493,43.483,29.388,166.421,15.894,11.708,8.0,52.0,1.49
kcat_DSS:0,0.302,0.289,0.0,0.809,0.124,0.093,7.0,30.0,1.67
kcat_DSS:1,69.828,42.648,18.543,129.822,17.762,13.256,6.0,56.0,1.67
logK_I_D:0,-8.348,4.675,-14.303,-1.332,2.079,1.565,6.0,24.0,1.93
logK_I_D:2,-4.912,3.588,-13.121,-0.165,1.166,0.851,11.0,15.0,1.57
logK_I_DI:0,-7.526,5.884,-17.137,1.051,2.767,2.099,5.0,14.0,2.48
logK_I_DI:2,-9.325,5.254,-16.764,-0.864,2.126,1.582,7.0,48.0,1.56
logK_I_M:0,-11.708,3.249,-14.494,-4.217,1.346,1.038,6.0,17.0,1.97
logK_I_M:2,-15.032,2.18,-17.718,-12.816,0.939,0.704,7.0,86.0,1.54
logK_S_D,-13.181,4.036,-20.729,-8.694,1.768,1.359,6.0,13.0,1.9
logK_S_DI:0,-13.283,5.576,-20.73,-2.838,2.139,1.727,6.0,12.0,1.72
logK_S_DI:2,-11.589,4.509,-17.662,-1.608,1.627,1.197,8.0,35.0,1.62
logK_S_DS,-9.598,6.69,-19.925,-0.331,3.223,2.454,5.0,15.0,2.92
logK_S_M,-7.308,4.201,-15.737,-2.397,1.932,1.461,5.0,12.0,2.16
logKd:0,-6.549,4.707,-12.949,-0.009,1.912,1.423,7.0,35.0,1.65
logKd:1,-8.233,6.396,-17.028,1.959,3.023,2.295,5.0,12.0,2.46
log_sigma_AUC:mut,-12.919,1.244,-16.193,-11.864,0.583,0.444,8.0,12.0,1.46
log_sigma_CRC:20650,-23.414,1.455,-24.76,-21.124,0.618,0.463,7.0,16.0,1.53
log_sigma_ICE:mut,5.92,1.054,4.453,7.84,0.432,0.326,7.0,29.0,1.55
log_sigma_rate:mut,-16.139,1.066,-17.681,-15.105,0.455,0.344,6.0,24.0,1.7
log_sigma_rate:wt_1:0,-12.761,0.434,-13.379,-11.927,0.143,0.105,9.0,26.0,1.38
log_sigma_rate:wt_1:1,-15.354,1.327,-17.339,-13.342,0.506,0.374,8.0,64.0,1.58
